"SourceKey","TargetKey"
"IAM-1013","IAM1-41"
"IAM-1017","IAM1-74"
"IAM-1048","IAM1-140"
"IAM-1050","IAM1-141"
"IAM-1126","IAM1-76"
"IAM-1282","IAM1-7"
"IAM-1297","IAM1-16"
"IAM-1381","IAM1-124"
"IAM-1384","IAM1-125"
"IAM-1398","IAM1-127"
"IAM-1399","IAM1-126"
"IAM-1456","IAM1-1"
"IAM-1463","IAM1-63"
"IAM-1466","IAM1-4"
"IAM-1517","IAM1-32"
"IAM-1529","IAM1-142"
"IAM-1532","IAM1-278"
"IAM-1657","IAM1-5"
"IAM-1676","IAM1-42"
"IAM-1759","IAM1-143"
"IAM-1760","IAM1-28"
"IAM-1770","IAM1-6"
"IAM-1802","IAM1-88"
"IAM-1823","IAM1-26"
"IAM-1824","IAM1-144"
"IAM-1862","IAM1-24"
"IAM-1921","IAM1-145"
"IAM-1923","IAM1-146"
"IAM-1924","IAM1-147"
"IAM-1925","IAM1-148"
"IAM-1967","IAM1-22"
"IAM-1999","IAM1-149"
"IAM-2004","IAM1-150"
"IAM-2020","IAM1-19"
"IAM-2026","IAM1-151"
"IAM-2057","IAM1-152"
"IAM-2070","IAM1-134"
"IAM-2103","IAM1-136"
"IAM-2104","IAM1-14"
"IAM-2105","IAM1-138"
"IAM-2106","IAM1-137"
"IAM-2107","IAM1-139"
"IAM-2111","IAM1-133"
"IAM-2125","IAM1-89"
"IAM-2169","IAM1-132"
"IAM-2252","IAM1-43"
"IAM-2267","IAM1-122"
"IAM-2306","IAM1-112"
"IAM-2327","IAM1-65"
"IAM-2343","IAM1-113"
"IAM-2350","IAM1-114"
"IAM-2359","IAM1-115"
"IAM-2360","IAM1-9"
"IAM-2373","IAM1-116"
"IAM-2387","IAM1-117"
"IAM-2388","IAM1-281"
"IAM-2417","IAM1-64"
"IAM-2418","IAM1-68"
"IAM-2420","IAM1-62"
"IAM-2429","IAM1-61"
"IAM-2430","IAM1-47"
"IAM-2431","IAM1-48"
"IAM-2432","IAM1-49"
"IAM-2433","IAM1-50"
"IAM-2434","IAM1-51"
"IAM-2435","IAM1-52"
"IAM-2436","IAM1-53"
"IAM-2437","IAM1-45"
"IAM-2438","IAM1-82"
"IAM-2453","IAM1-118"
"IAM-2454","IAM1-119"
"IAM-2459","IAM1-79"
"IAM-2469","IAM1-120"
"IAM-2486","IAM1-54"
"IAM-2574","IAM1-8"
"IAM-2582","IAM1-121"
"IAM-2583","IAM1-123"
"IAM-2587","IAM1-131"
"IAM-2635","IAM1-73"
"IAM-2643","IAM1-274"
"IAM-2695","IAM1-90"
"IAM-2705","IAM1-275"
"IAM-2709","IAM1-81"
"IAM-2716","IAM1-276"
"IAM-2733","IAM1-252"
"IAM-2734","IAM1-236"
"IAM-2735","IAM1-223"
"IAM-2767","IAM1-253"
"IAM-2812","IAM1-224"
"IAM-2846","IAM1-29"
"IAM-2856","IAM1-27"
"IAM-2857","IAM1-21"
"IAM-2858","IAM1-20"
"IAM-2859","IAM1-18"
"IAM-2860","IAM1-12"
"IAM-2862","IAM1-35"
"IAM-2866","IAM1-37"
"IAM-2885","IAM1-78"
"IAM-2894","IAM1-72"
"IAM-2912","IAM1-225"
"IAM-2957","IAM1-226"
"IAM-2999","IAM1-30"
"IAM-3000","IAM1-70"
"IAM-3001","IAM1-38"
"IAM-3005","IAM1-80"
"IAM-3008","IAM1-34"
"IAM-3009","IAM1-33"
"IAM-3030","IAM1-85"
"IAM-3045","IAM1-31"
"IAM-3093","IAM1-227"
"IAM-3094","IAM1-228"
"IAM-3099","IAM1-229"
"IAM-3109","IAM1-23"
"IAM-3113","IAM1-230"
"IAM-3122","IAM1-87"
"IAM-3148","IAM1-231"
"IAM-3151","IAM1-86"
"IAM-3152","IAM1-77"
"IAM-3161","IAM1-44"
"IAM-3178","IAM1-17"
"IAM-3192","IAM1-39"
"IAM-3194","IAM1-232"
"IAM-3201","IAM1-233"
"IAM-3233","IAM1-83"
"IAM-3243","IAM1-234"
"IAM-3250","IAM1-235"
"IAM-3253","IAM1-237"
"IAM-3254","IAM1-251"
"IAM-3266","IAM1-238"
"IAM-3278","IAM1-11"
"IAM-3319","IAM1-239"
"IAM-3320","IAM1-155"
"IAM-3329","IAM1-240"
"IAM-3340","IAM1-241"
"IAM-3345","IAM1-13"
"IAM-3353","IAM1-242"
"IAM-3354","IAM1-243"
"IAM-3355","IAM1-244"
"IAM-3356","IAM1-245"
"IAM-3357","IAM1-246"
"IAM-3377","IAM1-15"
"IAM-3383","IAM1-247"
"IAM-3418","IAM1-59"
"IAM-3431","IAM1-248"
"IAM-3490","IAM1-249"
"IAM-3495","IAM1-250"
"IAM-3497","IAM1-156"
"IAM-3529","IAM1-184"
"IAM-3544","IAM1-154"
"IAM-3553","IAM1-36"
"IAM-3558","IAM1-60"
"IAM-356","IAM1-129"
"IAM-3566","IAM1-95"
"IAM-3573","IAM1-93"
"IAM-3574","IAM1-92"
"IAM-3576","IAM1-56"
"IAM-3594","IAM1-108"
"IAM-3600","IAM1-98"
"IAM-3622","IAM1-99"
"IAM-3640","IAM1-75"
"IAM-3642","IAM1-100"
"IAM-3647","IAM1-101"
"IAM-3677","IAM1-102"
"IAM-3678","IAM1-105"
"IAM-3680","IAM1-104"
"IAM-3681","IAM1-69"
"IAM-3684","IAM1-67"
"IAM-3686","IAM1-91"
"IAM-3695","IAM1-109"
"IAM-370","IAM1-128"
"IAM-3710","IAM1-94"
"IAM-3724","IAM1-103"
"IAM-3732","IAM1-107"
"IAM-3736","IAM1-96"
"IAM-3744","IAM1-25"
"IAM-3749","IAM1-106"
"IAM-3754","IAM1-71"
"IAM-3756","IAM1-97"
"IAM-3759","IAM1-153"
"IAM-3784","IAM1-111"
"IAM-3785","IAM1-110"
"IAM-3797","IAM1-190"
"IAM-3798","IAM1-191"
"IAM-3799","IAM1-192"
"IAM-3800","IAM1-193"
"IAM-3801","IAM1-194"
"IAM-3809","IAM1-195"
"IAM-3815","IAM1-58"
"IAM-3818","IAM1-57"
"IAM-3819","IAM1-196"
"IAM-3820","IAM1-282"
"IAM-3821","IAM1-279"
"IAM-3822","IAM1-280"
"IAM-3823","IAM1-197"
"IAM-3833","IAM1-198"
"IAM-3851","IAM1-55"
"IAM-3854","IAM1-199"
"IAM-3855","IAM1-200"
"IAM-3856","IAM1-201"
"IAM-3857","IAM1-202"
"IAM-3859","IAM1-10"
"IAM-3862","IAM1-203"
"IAM-3863","IAM1-204"
"IAM-3864","IAM1-205"
"IAM-3865","IAM1-206"
"IAM-3879","IAM1-207"
"IAM-3881","IAM1-208"
"IAM-3893","IAM1-209"
"IAM-3897","IAM1-210"
"IAM-3910","IAM1-211"
"IAM-3912","IAM1-84"
"IAM-3915","IAM1-212"
"IAM-3916","IAM1-213"
"IAM-3917","IAM1-214"
"IAM-3919","IAM1-215"
"IAM-392","IAM1-130"
"IAM-3920","IAM1-216"
"IAM-3922","IAM1-217"
"IAM-3923","IAM1-46"
"IAM-3924","IAM1-218"
"IAM-3925","IAM1-189"
"IAM-3926","IAM1-219"
"IAM-3927","IAM1-188"
"IAM-3928","IAM1-186"
"IAM-3929","IAM1-157"
"IAM-3930","IAM1-158"
"IAM-3931","IAM1-159"
"IAM-3932","IAM1-160"
"IAM-3933","IAM1-66"
"IAM-3934","IAM1-161"
"IAM-3935","IAM1-162"
"IAM-3936","IAM1-163"
"IAM-3937","IAM1-164"
"IAM-3938","IAM1-165"
"IAM-3939","IAM1-166"
"IAM-3940","IAM1-167"
"IAM-3941","IAM1-168"
"IAM-3942","IAM1-169"
"IAM-3943","IAM1-170"
"IAM-3944","IAM1-171"
"IAM-3945","IAM1-172"
"IAM-3946","IAM1-173"
"IAM-3947","IAM1-174"
"IAM-3948","IAM1-175"
"IAM-3949","IAM1-176"
"IAM-3950","IAM1-177"
"IAM-3951","IAM1-178"
"IAM-3952","IAM1-179"
"IAM-3953","IAM1-180"
"IAM-3954","IAM1-181"
"IAM-3955","IAM1-182"
"IAM-3956","IAM1-183"
"IAM-3957","IAM1-221"
"IAM-3958","IAM1-185"
"IAM-3959","IAM1-187"
"IAM-3960","IAM1-220"
"IAM-3961","IAM1-222"
"IAM-3962","IAM1-261"
"IAM-3963","IAM1-260"
"IAM-3964","IAM1-255"
"IAM-3968","IAM1-277"
"IAM-3969","IAM1-266"
"IAM-3970","IAM1-256"
"IAM-3971","IAM1-257"
"IAM-3972","IAM1-258"
"IAM-3973","IAM1-259"
"IAM-3974","IAM1-254"
"IAM-3975","IAM1-262"
"IAM-3976","IAM1-263"
"IAM-3977","IAM1-264"
"IAM-3978","IAM1-265"
"IAM-3979","IAM1-267"
"IAM-3980","IAM1-269"
"IAM-3981","IAM1-268"
"IAM-3982","IAM1-269"
"IAM-3983","IAM1-270"
"IAM-3984","IAM1-271"
"IAM-3985","IAM1-272"
"IAM-3986","IAM1-40"
"IAM-3987","IAM1-273"
"IAM-847","IAM1-135"
"IAM-873","IAM1-3"
"IAM-886","IAM1-2"
