"SourceKey","TargetKey"
"IMG-1026","IMG1-3"
"IMG-1118","IMG1-94"
"IMG-1395","IMG1-42"
"IMG-14","IMG1-132"
"IMG-1405","IMG1-95"
"IMG-1525","IMG1-67"
"IMG-1564","IMG1-96"
"IMG-1575","IMG1-2"
"IMG-1591","IMG1-97"
"IMG-1602","IMG1-4"
"IMG-1603","IMG1-50"
"IMG-1609","IMG1-44"
"IMG-1636","IMG1-13"
"IMG-1637","IMG1-88"
"IMG-1638","IMG1-83"
"IMG-1639","IMG1-87"
"IMG-1640","IMG1-86"
"IMG-1641","IMG1-84"
"IMG-1642","IMG1-85"
"IMG-1643","IMG1-91"
"IMG-1644","IMG1-89"
"IMG-1645","IMG1-82"
"IMG-1646","IMG1-15"
"IMG-1647","IMG1-88"
"IMG-1648","IMG1-83"
"IMG-1649","IMG1-87"
"IMG-1650","IMG1-86"
"IMG-1651","IMG1-84"
"IMG-1652","IMG1-85"
"IMG-1653","IMG1-91"
"IMG-1654","IMG1-89"
"IMG-1655","IMG1-82"
"IMG-1656","IMG1-16"
"IMG-1657","IMG1-88"
"IMG-1658","IMG1-83"
"IMG-1659","IMG1-87"
"IMG-1660","IMG1-86"
"IMG-1661","IMG1-84"
"IMG-1662","IMG1-85"
"IMG-1663","IMG1-91"
"IMG-1664","IMG1-89"
"IMG-1665","IMG1-82"
"IMG-1666","IMG1-19"
"IMG-1667","IMG1-88"
"IMG-1668","IMG1-83"
"IMG-1669","IMG1-87"
"IMG-1670","IMG1-86"
"IMG-1671","IMG1-84"
"IMG-1672","IMG1-85"
"IMG-1673","IMG1-91"
"IMG-1674","IMG1-89"
"IMG-1675","IMG1-82"
"IMG-1676","IMG1-37"
"IMG-1681","IMG1-84"
"IMG-1682","IMG1-85"
"IMG-1683","IMG1-91"
"IMG-1684","IMG1-89"
"IMG-1686","IMG1-14"
"IMG-1691","IMG1-84"
"IMG-1692","IMG1-85"
"IMG-1693","IMG1-91"
"IMG-1694","IMG1-89"
"IMG-1696","IMG1-20"
"IMG-1697","IMG1-88"
"IMG-1698","IMG1-83"
"IMG-1699","IMG1-87"
"IMG-1700","IMG1-86"
"IMG-1701","IMG1-84"
