"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"INSO-2199","INSO1-91","Discovery - Connected","outward","INSO-1746","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-2199","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-91"
"INSO-2341","INSO1-256","Deployment","inward","INSO-2342","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-2341","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-256"
"INSO-2342","INSO1-203","Deployment","outward","INSO-2341","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-2342","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-203"
"INSO-1746","INSO1-155","Discovery - Connected","inward","INSO-2199","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-1746","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-155"
"INSO-34","INSO1-149","Trigger","outward","INSO-169","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-149"
"INSO-34","INSO1-149","Trigger","inward","INSO-169","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-149"
"INSO-21","INSO1-140","Trigger","outward","INSO-97","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-21","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-140"
"INSO-21","INSO1-140","Trigger","inward","INSO-97","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-21","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-140"
"INSO-82","INSO1-100","Trigger","outward","INSO-240","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-82","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-100"
"INSO-82","INSO1-100","Trigger","inward","INSO-240","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-82","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-100"
"INSO-52","INSO1-107","Trigger","outward","INSO-187","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-52","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-107"
"INSO-52","INSO1-107","Trigger","inward","INSO-187","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-52","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-107"
"INSO-51","INSO1-110","Trigger","outward","INSO-182","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-51","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-110"
"INSO-51","INSO1-110","Trigger","inward","INSO-182","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-51","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-110"
"INSO-62","INSO1-105","Trigger","outward","INSO-152","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-105"
"INSO-62","INSO1-105","Trigger","outward","INSO-195","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-105"
"INSO-62","INSO1-105","Trigger","outward","INSO-110","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-105"
"INSO-62","INSO1-105","Trigger","inward","INSO-110","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-105"
"INSO-62","INSO1-105","Trigger","inward","INSO-195","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-105"
"INSO-62","INSO1-105","Trigger","inward","INSO-152","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-105"
"INSO-61","INSO1-101","Trigger","outward","INSO-149","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-101"
"INSO-61","INSO1-101","Trigger","outward","INSO-150","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-101"
