"SourceKey","TargetKey"
"INSO-1003","INSO1-137"
"INSO-1030","INSO1-138"
"INSO-1044","INSO1-299"
"INSO-1070","INSO1-298"
"INSO-1074","INSO1-297"
"INSO-1079","INSO1-142"
"INSO-11","INSO1-144"
"INSO-110","INSO1-236"
"INSO-1102","INSO1-143"
"INSO-1121","INSO1-296"
"INSO-1128","INSO1-295"
"INSO-113","INSO1-235"
"INSO-1136","INSO1-146"
"INSO-1144","INSO1-241"
"INSO-1173","INSO1-148"
"INSO-1175","INSO1-294"
"INSO-1193","INSO1-134"
"INSO-1196","INSO1-293"
"INSO-1197","INSO1-132"
"INSO-1205","INSO1-292"
"INSO-1210","INSO1-291"
"INSO-1217","INSO1-290"
"INSO-1259","INSO1-119"
"INSO-1260","INSO1-289"
"INSO-1262","INSO1-302"
"INSO-1278","INSO1-122"
"INSO-1280","INSO1-124"
"INSO-1296","INSO1-131"
"INSO-1297","INSO1-125"
"INSO-13","INSO1-145"
"INSO-1306","INSO1-288"
"INSO-1416","INSO1-127"
"INSO-1417","INSO1-128"
"INSO-1460","INSO1-286"
"INSO-1479","INSO1-274"
"INSO-149","INSO1-221"
"INSO-150","INSO1-222"
"INSO-151","INSO1-223"
"INSO-152","INSO1-224"
"INSO-1521","INSO1-184"
"INSO-153","INSO1-220"
"INSO-1557","INSO1-284"
"INSO-1573","INSO1-118"
"INSO-1598","INSO1-117"
"INSO-1610","INSO1-283"
"INSO-1619","INSO1-114"
"INSO-1640","INSO1-112"
"INSO-1644","INSO1-154"
"INSO-1652","INSO1-282"
"INSO-1659","INSO1-281"
"INSO-1679","INSO1-186"
"INSO-1686","INSO1-188"
"INSO-1688","INSO1-200"
"INSO-169","INSO1-238"
"INSO-1690","INSO1-198"
"INSO-17","INSO1-141"
"INSO-171","INSO1-237"
"INSO-1715","INSO1-279"
"INSO-1725","INSO1-195"
"INSO-1737","INSO1-179"
"INSO-1746","INSO1-155"
"INSO-1765","INSO1-278"
"INSO-1780","INSO1-277"
"INSO-1781","INSO1-276"
"INSO-1782","INSO1-275"
