"SourceKey","TargetKey"
"INTG-1155","INTG1-224"
"INTG-1158","INTG1-223"
"INTG-1161","INTG1-222"
"INTG-1166","INTG1-221"
"INTG-1167","INTG1-220"
"INTG-1168","INTG1-219"
"INTG-1169","INTG1-218"
"INTG-1175","INTG1-217"
"INTG-1177","INTG1-216"
"INTG-1181","INTG1-215"
"INTG-1183","INTG1-232"
"INTG-1184","INTG1-234"
"INTG-1185","INTG1-253"
"INTG-1186","INTG1-235"
"INTG-1187","INTG1-252"
"INTG-119","INTG1-289"
"INTG-1192","INTG1-251"
"INTG-1193","INTG1-250"
"INTG-1194","INTG1-249"
"INTG-1195","INTG1-248"
"INTG-1196","INTG1-247"
"INTG-1197","INTG1-246"
"INTG-1198","INTG1-245"
"INTG-1199","INTG1-244"
"INTG-120","INTG1-290"
"INTG-1200","INTG1-243"
"INTG-1201","INTG1-242"
"INTG-1202","INTG1-241"
"INTG-1203","INTG1-240"
"INTG-1204","INTG1-239"
"INTG-1205","INTG1-238"
"INTG-1206","INTG1-237"
"INTG-1207","INTG1-236"
"INTG-1208","INTG1-414"
"INTG-1209","INTG1-482"
"INTG-121","INTG1-291"
"INTG-1210","INTG1-180"
"INTG-1211","INTG1-179"
"INTG-1212","INTG1-178"
"INTG-1214","INTG1-177"
"INTG-1215","INTG1-186"
"INTG-1216","INTG1-176"
"INTG-1217","INTG1-174"
"INTG-1218","INTG1-173"
"INTG-1219","INTG1-172"
"INTG-122","INTG1-292"
"INTG-1220","INTG1-171"
"INTG-1221","INTG1-170"
"INTG-1222","INTG1-169"
"INTG-1223","INTG1-168"
"INTG-1224","INTG1-167"
"INTG-1225","INTG1-166"
"INTG-1226","INTG1-175"
"INTG-1227","INTG1-187"
"INTG-1228","INTG1-188"
"INTG-1230","INTG1-189"
"INTG-1231","INTG1-210"
"INTG-1232","INTG1-209"
"INTG-1233","INTG1-208"
"INTG-1234","INTG1-207"
"INTG-1235","INTG1-206"
"INTG-1236","INTG1-205"
"INTG-1237","INTG1-204"
"INTG-1238","INTG1-203"
"INTG-1239","INTG1-202"
"INTG-1240","INTG1-201"
"INTG-1242","INTG1-200"
"INTG-1243","INTG1-199"
"INTG-1244","INTG1-198"
"INTG-1245","INTG1-197"
"INTG-1246","INTG1-196"
"INTG-1248","INTG1-195"
"INTG-1249","INTG1-194"
"INTG-1251","INTG1-193"
"INTG-1252","INTG1-164"
"INTG-1253","INTG1-191"
"INTG-1254","INTG1-190"
"INTG-1255","INTG1-165"
"INTG-1256","INTG1-211"
"INTG-1257","INTG1-135"
"INTG-1258","INTG1-134"
"INTG-1259","INTG1-133"
"INTG-1261","INTG1-132"
"INTG-1263","INTG1-146"
"INTG-1264","INTG1-157"
"INTG-1265","INTG1-159"
"INTG-1266","INTG1-160"
"INTG-1267","INTG1-161"
"INTG-1268","INTG1-131"
"INTG-1270","INTG1-162"
"INTG-1271","INTG1-158"
"INTG-1274","INTG1-156"
"INTG-1276","INTG1-155"
"INTG-1278","INTG1-154"
"INTG-1279","INTG1-153"
"INTG-1280","INTG1-152"
"INTG-1284","INTG1-151"
"INTG-1286","INTG1-150"
"INTG-1287","INTG1-149"
"INTG-1289","INTG1-148"
"INTG-1291","INTG1-147"
"INTG-1292","INTG1-136"
"INTG-1293","INTG1-137"
"INTG-1294","INTG1-145"
"INTG-1295","INTG1-138"
"INTG-1296","INTG1-139"
"INTG-1297","INTG1-140"
"INTG-1298","INTG1-141"
"INTG-1300","INTG1-142"
"INTG-1301","INTG1-143"
"INTG-1303","INTG1-144"
"INTG-1305","INTG1-192"
"INTG-1306","INTG1-212"
