"SourceKey","TargetKey"
"LAW-10","LAW1-19"
"LAW-1063","LAW1-1"
"LAW-1068","LAW1-54"
"LAW-1086","LAW1-55"
"LAW-1095","LAW1-56"
"LAW-1105","LAW1-57"
"LAW-1107","LAW1-38"
"LAW-1111","LAW1-58"
"LAW-1124","LAW1-59"
"LAW-1126","LAW1-39"
"LAW-1128","LAW1-51"
"LAW-1129","LAW1-37"
"LAW-1131","LAW1-29"
"LAW-1132","LAW1-28"
"LAW-1133","LAW1-34"
"LAW-1134","LAW1-30"
"LAW-1135","LAW1-27"
"LAW-1136","LAW1-36"
"LAW-1140","LAW1-32"
"LAW-1141","LAW1-58"
"LAW-1145","LAW1-38"
"LAW-1147","LAW1-27"
"LAW-1148","LAW1-34"
"LAW-1150","LAW1-33"
"LAW-1151","LAW1-31"
"LAW-1152","LAW1-35"
"LAW-15","LAW1-17"
"LAW-16","LAW1-16"
"LAW-20","LAW1-20"
"LAW-21","LAW1-24"
"LAW-22","LAW1-25"
"LAW-23","LAW1-14"
"LAW-24","LAW1-23"
"LAW-27","LAW1-21"
"LAW-29","LAW1-18"
"LAW-30","LAW1-4"
"LAW-31","LAW1-26"
"LAW-45","LAW1-61"
"LAW-544","LAW1-13"
"LAW-545","LAW1-15"
"LAW-554","LAW1-40"
"LAW-555","LAW1-41"
"LAW-585","LAW1-42"
"LAW-592","LAW1-43"
"LAW-593","LAW1-44"
"LAW-594","LAW1-62"
"LAW-595","LAW1-45"
"LAW-596","LAW1-46"
"LAW-597","LAW1-47"
"LAW-598","LAW1-48"
"LAW-599","LAW1-49"
"LAW-600","LAW1-50"
"LAW-601","LAW1-52"
"LAW-665","LAW1-12"
"LAW-758","LAW1-11"
"LAW-759","LAW1-60"
"LAW-812","LAW1-10"
"LAW-877","LAW1-9"
"LAW-884","LAW1-8"
"LAW-892","LAW1-7"
"LAW-893","LAW1-6"
"LAW-895","LAW1-5"
"LAW-9","LAW1-22"
"LAW-936","LAW1-3"
"LAW-944","LAW1-53"
"LAW-973","LAW1-2"
