"SourceKey","TargetKey"
"MCARD-128","MCARD1-33"
"MCARD-17","MCARD1-23"
"MCARD-170","MCARD1-53"
"MCARD-177","MCARD1-59"
"MCARD-178","MCARD1-60"
"MCARD-180","MCARD1-50"
"MCARD-185","MCARD1-47"
"MCARD-191","MCARD1-35"
"MCARD-22","MCARD1-41"
"MCARD-242","MCARD1-34"
"MCARD-258","MCARD1-18"
"MCARD-259","MCARD1-54"
"MCARD-280","MCARD1-38"
"MCARD-286","MCARD1-17"
"MCARD-303","MCARD1-3"
"MCARD-314","MCARD1-4"
"MCARD-347","MCARD1-19"
"MCARD-356","MCARD1-5"
"MCARD-358","MCARD1-6"
"MCARD-361","MCARD1-7"
"MCARD-392","MCARD1-37"
"MCARD-408","MCARD1-8"
"MCARD-410","MCARD1-31"
"MCARD-412","MCARD1-2"
"MCARD-413","MCARD1-1"
"MCARD-415","MCARD1-10"
"MCARD-416","MCARD1-48"
"MCARD-42","MCARD1-26"
"MCARD-420","MCARD1-11"
"MCARD-43","MCARD1-28"
"MCARD-45","MCARD1-27"
"MCARD-454","MCARD1-49"
"MCARD-455","MCARD1-57"
"MCARD-456","MCARD1-55"
"MCARD-457","MCARD1-32"
"MCARD-465","MCARD1-40"
"MCARD-469","MCARD1-45"
"MCARD-478","MCARD1-44"
"MCARD-488","MCARD1-43"
"MCARD-496","MCARD1-12"
"MCARD-498","MCARD1-46"
"MCARD-499","MCARD1-58"
"MCARD-500","MCARD1-36"
"MCARD-501","MCARD1-13"
"MCARD-504","MCARD1-14"
"MCARD-508","MCARD1-39"
"MCARD-510","MCARD1-15"
"MCARD-512","MCARD1-42"
"MCARD-515","MCARD1-16"
"MCARD-526","MCARD1-52"
"MCARD-527","MCARD1-56"
"MCARD-56","MCARD1-21"
"MCARD-60","MCARD1-22"
"MCARD-67","MCARD1-24"
"MCARD-69","MCARD1-25"
"MCARD-70","MCARD1-51"
"MCARD-73","MCARD1-29"
"MCARD-8","MCARD1-9"
"MCARD-82","MCARD1-30"
"MCARD-92","MCARD1-20"
