"SourceKey","TargetKey"
"MCCE-1030","MCCE1-29"
"MCCE-1033","MCCE1-30"
"MCCE-104","MCCE1-83"
"MCCE-1060","MCCE1-62"
"MCCE-1076","MCCE1-2"
"MCCE-1077","MCCE1-3"
"MCCE-1080","MCCE1-5"
"MCCE-1084","MCCE1-6"
"MCCE-1085","MCCE1-1"
"MCCE-1087","MCCE1-7"
"MCCE-1088","MCCE1-45"
"MCCE-1090","MCCE1-39"
"MCCE-1095","MCCE1-8"
"MCCE-1102","MCCE1-60"
"MCCE-1103","MCCE1-61"
"MCCE-111","MCCE1-55"
"MCCE-1110","MCCE1-58"
"MCCE-1112","MCCE1-59"
"MCCE-1116","MCCE1-57"
"MCCE-1121","MCCE1-56"
"MCCE-1150","MCCE1-17"
"MCCE-1151","MCCE1-63"
"MCCE-1152","MCCE1-22"
"MCCE-1153","MCCE1-24"
"MCCE-1164","MCCE1-138"
"MCCE-1165","MCCE1-36"
"MCCE-1186","MCCE1-104"
"MCCE-1280","MCCE1-153"
"MCCE-1282","MCCE1-152"
"MCCE-1284","MCCE1-151"
"MCCE-1292","MCCE1-54"
"MCCE-130","MCCE1-107"
"MCCE-1336","MCCE1-41"
"MCCE-134","MCCE1-11"
"MCCE-1347","MCCE1-103"
"MCCE-1349","MCCE1-149"
"MCCE-1350","MCCE1-147"
"MCCE-1354","MCCE1-146"
"MCCE-136","MCCE1-106"
"MCCE-139","MCCE1-105"
"MCCE-1414","MCCE1-145"
"MCCE-1415","MCCE1-144"
"MCCE-1424","MCCE1-143"
"MCCE-1430","MCCE1-142"
"MCCE-1432","MCCE1-141"
"MCCE-1434","MCCE1-148"
"MCCE-1453","MCCE1-43"
"MCCE-1454","MCCE1-44"
"MCCE-1471","MCCE1-51"
"MCCE-1474","MCCE1-165"
"MCCE-1475","MCCE1-164"
"MCCE-1476","MCCE1-163"
"MCCE-1494","MCCE1-162"
"MCCE-1495","MCCE1-21"
"MCCE-15","MCCE1-115"
"MCCE-1507","MCCE1-161"
"MCCE-151","MCCE1-324"
"MCCE-152","MCCE1-112"
"MCCE-1524","MCCE1-160"
"MCCE-1527","MCCE1-159"
"MCCE-1564","MCCE1-158"
"MCCE-1568","MCCE1-157"
"MCCE-16","MCCE1-9"
"MCCE-1611","MCCE1-156"
"MCCE-1612","MCCE1-155"
"MCCE-163","MCCE1-27"
"MCCE-1635","MCCE1-189"
"MCCE-164","MCCE1-23"
"MCCE-1642","MCCE1-188"
"MCCE-1643","MCCE1-233"
"MCCE-1645","MCCE1-53"
"MCCE-1654","MCCE1-234"
"MCCE-1655","MCCE1-235"
"MCCE-1657","MCCE1-250"
"MCCE-1660","MCCE1-287"
"MCCE-1699","MCCE1-284"
"MCCE-170","MCCE1-119"
"MCCE-1700","MCCE1-301"
"MCCE-1711","MCCE1-285"
"MCCE-1712","MCCE1-272"
"MCCE-1713","MCCE1-273"
"MCCE-1714","MCCE1-274"
"MCCE-1715","MCCE1-275"
"MCCE-1716","MCCE1-276"
"MCCE-175","MCCE1-140"
"MCCE-1754","MCCE1-277"
"MCCE-1756","MCCE1-49"
"MCCE-1795","MCCE1-298"
"MCCE-180","MCCE1-25"
"MCCE-181","MCCE1-113"
"MCCE-1840","MCCE1-297"
"MCCE-1890","MCCE1-26"
"MCCE-1891","MCCE1-13"
"MCCE-1892","MCCE1-48"
"MCCE-1893","MCCE1-33"
"MCCE-1894","MCCE1-32"
"MCCE-1895","MCCE1-31"
"MCCE-1904","MCCE1-296"
"MCCE-191","MCCE1-139"
"MCCE-1918","MCCE1-12"
"MCCE-1919","MCCE1-278"
"MCCE-1920","MCCE1-279"
"MCCE-1921","MCCE1-280"
"MCCE-1922","MCCE1-281"
"MCCE-1923","MCCE1-282"
"MCCE-1924","MCCE1-271"
"MCCE-1925","MCCE1-286"
"MCCE-1926","MCCE1-294"
"MCCE-1927","MCCE1-299"
"MCCE-1929","MCCE1-300"
"MCCE-193","MCCE1-137"
"MCCE-194","MCCE1-166"
"MCCE-1961","MCCE1-295"
"MCCE-197","MCCE1-322"
"MCCE-198","MCCE1-168"
"MCCE-2023","MCCE1-292"
"MCCE-2027","MCCE1-290"
