"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"MCCE-2356","https://onemain.atlassian.net/browse/MCCE-2356","MCCE1-267","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-267","Duplicate","inward","MCCE-2353","https://onemain.atlassian.net/browse/MCCE-2353","Linked issue not migrated","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-2439","https://onemain.atlassian.net/browse/MCCE-2439","MCCE1-226","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-226","Cloners","outward","MCCE-2438","https://onemain.atlassian.net/browse/MCCE-2438","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-1655","https://onemain.atlassian.net/browse/MCCE-1655","MCCE1-235","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-235","Relates","inward","MCCE-1654","https://onemain.atlassian.net/browse/MCCE-1654","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-1700","https://onemain.atlassian.net/browse/MCCE-1700","MCCE1-301","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-301","Blocks","inward","MCCE-1699","https://onemain.atlassian.net/browse/MCCE-1699","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-1714","https://onemain.atlassian.net/browse/MCCE-1714","MCCE1-274","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-274","Relates","inward","MCCE-1713","https://onemain.atlassian.net/browse/MCCE-1713","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-1716","https://onemain.atlassian.net/browse/MCCE-1716","MCCE1-276","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-276","Relates","outward","MCCE-1715","https://onemain.atlassian.net/browse/MCCE-1715","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-2128","https://onemain.atlassian.net/browse/MCCE-2128","MCCE1-20","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-20","Blocks","inward","MCCE-2463","https://onemain.atlassian.net/browse/MCCE-2463","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-2129","https://onemain.atlassian.net/browse/MCCE-2129","MCCE1-19","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-19","Blocks","inward","MCCE-2342","https://onemain.atlassian.net/browse/MCCE-2342","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-2132","https://onemain.atlassian.net/browse/MCCE-2132","MCCE1-269","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-269","Relates","inward","MCCE-2066","https://onemain.atlassian.net/browse/MCCE-2066","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCCE-2150","https://onemain.atlassian.net/browse/MCCE-2150","MCCE1-252","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-252","Relates","outward","MCCE-1929","https://onemain.atlassian.net/browse/MCCE-1929","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
