"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"MOD-160","https://onemain.atlassian.net/browse/MOD-160","MOD1-35","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-35","Task","CUSTIAM Prep Work for Sandbox Pilot Implementation","MOD-157","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-162","https://onemain.atlassian.net/browse/MOD-162","MOD1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-36","Task","CUSTIAM Technical Assessment","MOD-157","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-168","https://onemain.atlassian.net/browse/MOD-168","MOD1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-38","Task","Create call with Lance Wayman around Mulesoft and Urbancode (CUSTIAM)","MOD-157","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-177","https://onemain.atlassian.net/browse/MOD-177","MOD1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-41","Task","CI (Data Center DevOps) Prep Work for Sandbox Implementation","MOD-173","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-178","https://onemain.atlassian.net/browse/MOD-178","MOD1-42","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-42","Task","CI (Data Center DevOps)  Jira Pilot Interview - Kickoff","MOD-173","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-179","https://onemain.atlassian.net/browse/MOD-179","MOD1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-43","Task","CI (Data Center DevOps) Technical Assessment","MOD-173","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-182","https://onemain.atlassian.net/browse/MOD-182","MOD1-45","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-45","Task","UrbanCode Deployment Documentation","MOD-181","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-185","https://onemain.atlassian.net/browse/MOD-185","MOD1-46","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-46","Task","Create ServiceNow Dashboard to measure weekly progress","MOD-184","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-192","https://onemain.atlassian.net/browse/MOD-192","MOD1-47","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-47","Task","Atlassian SNOW Requests - Week Jan/15/2024","MOD-191","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-196","https://onemain.atlassian.net/browse/MOD-196","MOD1-48","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-48","Task","Document CICD (custom) Jira Plugin ","MOD-181","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-197","https://onemain.atlassian.net/browse/MOD-197","MOD1-49","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-49","Task","Atlassian SNOW Requests - Week Jan/22/2024","MOD-191","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-205","https://onemain.atlassian.net/browse/MOD-205","MOD1-52","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-52","Task","HYCU Integration (Backup tool)","MOD-181","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-85","https://onemain.atlassian.net/browse/MOD-85","MOD1-55","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-55","Task","ESIG Technical Assessment","MOD-75","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-1692","https://onemain.atlassian.net/browse/MOD-1692","MOD1-58","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-58","Task","TEMPLATE - Parent Task","MOD-309","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MOD-135","https://onemain.atlassian.net/browse/MOD-135","MOD1-71","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MOD1-71","Task","Prepare Xray Test Management for Jira Cloud for removal from onemain.atlassian.net","MOD-181","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
