"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ORL-67","https://onemain.atlassian.net/browse/ORL-67",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Initiative","GIACT/ACH policy change​","ORL-65","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-68","https://onemain.atlassian.net/browse/ORL-68",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Initiative","Create a generic “re-decision of offer” service based on additional data (bank data being MVP)​","ORL-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-69","https://onemain.atlassian.net/browse/ORL-69","ORL1-20","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-20","Initiative","Single offer presentment post income verification","ORL-65","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-71","https://onemain.atlassian.net/browse/ORL-71","ORL1-21","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-21","Initiative","Enable ""offer upgrade"" use case​","ORL-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-72","https://onemain.atlassian.net/browse/ORL-72","ORL1-22","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-22","Initiative","Income verification use case​","ORL-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-74","https://onemain.atlassian.net/browse/ORL-74","ORL1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-23","Initiative","2-way SMS at scale; email, and UX enhancements​","ORL-73","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-75","https://onemain.atlassian.net/browse/ORL-75","ORL1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-24","Initiative","Build a customer facing appointment setting solution  ​","ORL-73","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-28","https://onemain.atlassian.net/browse/ORL-28","ORL1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-25","Initiative","FTR","ORL-65","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-77","https://onemain.atlassian.net/browse/ORL-77","ORL1-26","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-26","Initiative","Capture preference for assistance​","ORL-73","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-76","https://onemain.atlassian.net/browse/ORL-76","ORL1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-27","Initiative","Let customers know where they are in the process​","ORL-73","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-66","https://onemain.atlassian.net/browse/ORL-66",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Initiative","Simplify offer page experience leading with unsecured offers​","ORL-65","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-14799","https://onemain.atlassian.net/browse/ORL-14799","ORL1-291","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-291","Story","Add Notification For Income Verification Required for Secured When Saving Quotes","ORL-14655","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ORL-2364","https://onemain.atlassian.net/browse/ORL-2364","ORL1-294","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-294","Story","I want to set SMS to a specific Digital Journey","ORL-3840","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
