"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"ORL-17556","https://onemain.atlassian.net/browse/ORL-17556","ORL1-286","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-286","Cloners","outward","ORL-17555","https://onemain.atlassian.net/browse/ORL-17555","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-17019","https://onemain.atlassian.net/browse/ORL-17019","ORL1-807","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-807","Cloners","inward","ORL-17460","https://onemain.atlassian.net/browse/ORL-17460","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-17115","https://onemain.atlassian.net/browse/ORL-17115","ORL1-672","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-672","Cloners","outward","ORL-17021","https://onemain.atlassian.net/browse/ORL-17021","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-17411","https://onemain.atlassian.net/browse/ORL-17411","ORL1-553","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-553","Cloners","outward","ORL-17057","https://onemain.atlassian.net/browse/ORL-17057","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-17411","https://onemain.atlassian.net/browse/ORL-17411","ORL1-553","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-553","Cloners","inward","ORL-17581","https://onemain.atlassian.net/browse/ORL-17581","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-17412","https://onemain.atlassian.net/browse/ORL-17412","ORL1-571","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-571","Cloners","outward","ORL-17057","https://onemain.atlassian.net/browse/ORL-17057","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16707","https://onemain.atlassian.net/browse/ORL-16707","ORL1-133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-133","Relates","inward","ORL-16706","https://onemain.atlassian.net/browse/ORL-16706","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16708","https://onemain.atlassian.net/browse/ORL-16708","ORL1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-134","Relates","inward","ORL-16706","https://onemain.atlassian.net/browse/ORL-16706","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16709","https://onemain.atlassian.net/browse/ORL-16709","ORL1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-127","Relates","inward","ORL-16706","https://onemain.atlassian.net/browse/ORL-16706","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16792","https://onemain.atlassian.net/browse/ORL-16792","ORL1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-130","Relates","inward","ORL-16706","https://onemain.atlassian.net/browse/ORL-16706","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16795","https://onemain.atlassian.net/browse/ORL-16795","ORL1-132","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-132","Relates","inward","ORL-16706","https://onemain.atlassian.net/browse/ORL-16706","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","ORL1-9","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-9","Relates","inward","ORL-16960","https://onemain.atlassian.net/browse/ORL-16960","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16830","https://onemain.atlassian.net/browse/ORL-16830","ORL1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-135","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16831","https://onemain.atlassian.net/browse/ORL-16831","ORL1-136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-136","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16832","https://onemain.atlassian.net/browse/ORL-16832","ORL1-8","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-8","Relates","outward","ORL-16958","https://onemain.atlassian.net/browse/ORL-16958","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16833","https://onemain.atlassian.net/browse/ORL-16833","ORL1-138","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-138","Relates","inward","ORL-16832","https://onemain.atlassian.net/browse/ORL-16832","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16836","https://onemain.atlassian.net/browse/ORL-16836","ORL1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-126","Relates","inward","ORL-16832","https://onemain.atlassian.net/browse/ORL-16832","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16837","https://onemain.atlassian.net/browse/ORL-16837","ORL1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-126","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16885","https://onemain.atlassian.net/browse/ORL-16885","ORL1-164","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-164","Relates","outward","ORL-16708","https://onemain.atlassian.net/browse/ORL-16708","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16890","https://onemain.atlassian.net/browse/ORL-16890","ORL1-107","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-107","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16891","https://onemain.atlassian.net/browse/ORL-16891","ORL1-114","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-114","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16892","https://onemain.atlassian.net/browse/ORL-16892","ORL1-108","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-108","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16905","https://onemain.atlassian.net/browse/ORL-16905","ORL1-166","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-166","Relates","outward","ORL-16708","https://onemain.atlassian.net/browse/ORL-16708","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16908","https://onemain.atlassian.net/browse/ORL-16908","ORL1-111","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-111","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16909","https://onemain.atlassian.net/browse/ORL-16909","ORL1-3","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-3","Relates","outward","ORL-16893","https://onemain.atlassian.net/browse/ORL-16893","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16909","https://onemain.atlassian.net/browse/ORL-16909","ORL1-3","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-3","Relates","inward","ORL-16959","https://onemain.atlassian.net/browse/ORL-16959","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16920","https://onemain.atlassian.net/browse/ORL-16920","ORL1-113","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-113","Relates","inward","ORL-16829","https://onemain.atlassian.net/browse/ORL-16829","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16921","https://onemain.atlassian.net/browse/ORL-16921","ORL1-114","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-114","Relates","inward","ORL-16909","https://onemain.atlassian.net/browse/ORL-16909","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ORL-16923","https://onemain.atlassian.net/browse/ORL-16923","ORL1-167","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ORL1-167","Relates","outward","ORL-16803","https://onemain.atlassian.net/browse/ORL-16803","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
