"SourceKey","TargetKey"
"OSO-417","OSO1-1"
"OSO-457","OSO1-48"
"OSO-460","OSO1-12"
"OSO-544","OSO1-11"
"OSO-545","OSO1-10"
"OSO-547","OSO1-9"
"OSO-553","OSO1-14"
"OSO-558","OSO1-36"
"OSO-562","OSO1-35"
"OSO-563","OSO1-34"
"OSO-565","OSO1-39"
"OSO-607","OSO1-42"
"OSO-608","OSO1-52"
"OSO-610","OSO1-51"
"OSO-611","OSO1-50"
"OSO-615","OSO1-84"
"OSO-616","OSO1-2"
"OSO-617","OSO1-37"
"OSO-623","OSO1-15"
"OSO-630","OSO1-33"
"OSO-699","OSO1-40"
"OSO-716","OSO1-41"
"OSO-756","OSO1-49"
"OSO-761","OSO1-47"
"OSO-765","OSO1-65"
"OSO-766","OSO1-53"
"OSO-768","OSO1-38"
"OSO-772","OSO1-31"
"OSO-782","OSO1-22"
"OSO-785","OSO1-4"
"OSO-786","OSO1-43"
"OSO-787","OSO1-44"
"OSO-788","OSO1-45"
"OSO-789","OSO1-46"
"OSO-790","OSO1-13"
"OSO-793","OSO1-7"
"OSO-794","OSO1-8"
"OSO-795","OSO1-5"
"OSO-798","OSO1-16"
"OSO-801","OSO1-66"
"OSO-811","OSO1-17"
"OSO-812","OSO1-18"
"OSO-814","OSO1-19"
"OSO-818","OSO1-85"
"OSO-819","OSO1-67"
"OSO-820","OSO1-68"
"OSO-821","OSO1-69"
"OSO-822","OSO1-70"
"OSO-823","OSO1-71"
"OSO-824","OSO1-72"
"OSO-825","OSO1-73"
"OSO-826","OSO1-74"
"OSO-827","OSO1-75"
"OSO-828","OSO1-76"
"OSO-829","OSO1-77"
"OSO-830","OSO1-78"
"OSO-831","OSO1-79"
"OSO-832","OSO1-80"
"OSO-833","OSO1-81"
"OSO-834","OSO1-63"
"OSO-835","OSO1-82"
"OSO-836","OSO1-83"
"OSO-837","OSO1-64"
"OSO-838","OSO1-6"
"OSO-839","OSO1-21"
"OSO-840","OSO1-62"
"OSO-845","OSO1-20"
"OSO-847","OSO1-3"
"OSO-850","OSO1-23"
"OSO-851","OSO1-24"
"OSO-853","OSO1-25"
"OSO-854","OSO1-61"
"OSO-855","OSO1-55"
"OSO-856","OSO1-26"
"OSO-857","OSO1-27"
"OSO-860","OSO1-28"
"OSO-862","OSO1-54"
"OSO-863","OSO1-56"
"OSO-864","OSO1-57"
"OSO-865","OSO1-58"
"OSO-866","OSO1-59"
"OSO-867","OSO1-60"
"OSO-868","OSO1-29"
"OSO-869","OSO1-30"
"OSO-870","OSO1-32"
