"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","7","Components found in source project","2025-10-16 06:16:56"
"Summary","Labels Captured","16","Unique labels found in source issues","2025-10-16 06:16:56"
"Summary","Components Created","23","Total components created in target","2025-10-16 06:16:56"
"Summary","Created From Source","7","Components copied from source project","2025-10-16 06:16:56"
"Summary","Created From Labels","16","Components created from label names","2025-10-16 06:16:56"
"Summary","Existing Components","0","Components that already existed","2025-10-16 06:16:56"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 06:16:56"
"Component","Asset Capture","15445","Created from SourceComponent","2025-10-16 06:16:56"
"Component","Document Upload","15446","Created from SourceComponent","2025-10-16 06:16:56"
"Component","Intelligent Quoting","15447","Created from SourceComponent","2025-10-16 06:16:56"
"Component","Operating Model - External","15448","Created from SourceComponent","2025-10-16 06:16:56"
"Component","Operating Model - Internal","15449","Created from SourceComponent","2025-10-16 06:16:56"
"Component","Platform Capabilities","15450","Created from SourceComponent","2025-10-16 06:16:56"
"Component","Tech We Can Build Now","15451","Created from SourceComponent","2025-10-16 06:16:56"
"Component","plos-increment-2f","15452","Created from Label","2025-10-16 06:16:56"
"Component","plos-task","15453","Created from Label","2025-10-16 06:16:56"
"Component","PLOS_tmx","15454","Created from Label","2025-10-16 06:16:56"
"Component","exclude-from-migration-new-jira","15455","Created from Label","2025-10-16 06:16:56"
"Component","tshirt-3","15456","Created from Label","2025-10-16 06:16:56"
"Component","plos-increment-2b","15457","Created from Label","2025-10-16 06:16:56"
"Component","tshirt-8","15458","Created from Label","2025-10-16 06:16:56"
"Component","steel-thread","15459","Created from Label","2025-10-16 06:16:56"
"Component","PLOS_ivaas","15460","Created from Label","2025-10-16 06:16:56"
"Component","Catalyst_Steel_Thread","15461","Created from Label","2025-10-16 06:16:56"
"Component","plaq-init","15462","Created from Label","2025-10-16 06:16:56"
"Component","plaq-team-tmx","15463","Created from Label","2025-10-16 06:16:56"
"Component","tshirt-5","15464","Created from Label","2025-10-16 06:16:56"
"Component","plaq-kanban","15465","Created from Label","2025-10-16 06:16:56"
"Component","plaq-parking-lot","15466","Created from Label","2025-10-16 06:16:56"
"Component","tshirt-1","15467","Created from Label","2025-10-16 06:16:56"
"Label","plaq-init","144","Used in 144 issues","2025-10-16 06:16:56"
"Label","PLOS_tmx","139","Used in 139 issues","2025-10-16 06:16:56"
"Label","exclude-from-migration-new-jira","84","Used in 84 issues","2025-10-16 06:16:56"
"Label","Catalyst_Steel_Thread","53","Used in 53 issues","2025-10-16 06:16:56"
"Label","plos-increment-2b","43","Used in 43 issues","2025-10-16 06:16:56"
"Label","plaq-kanban","34","Used in 34 issues","2025-10-16 06:16:56"
"Label","tshirt-3","10","Used in 10 issues","2025-10-16 06:16:56"
"Label","tshirt-5","9","Used in 9 issues","2025-10-16 06:16:56"
"Label","PLOS_ivaas","5","Used in 5 issues","2025-10-16 06:16:56"
"Label","plos-increment-2f","2","Used in 2 issues","2025-10-16 06:16:56"
"Label","tshirt-8","2","Used in 2 issues","2025-10-16 06:16:56"
"Label","plaq-parking-lot","2","Used in 2 issues","2025-10-16 06:16:56"
"Label","plos-task","1","Used in 1 issues","2025-10-16 06:16:56"
"Label","steel-thread","1","Used in 1 issues","2025-10-16 06:16:56"
"Label","plaq-team-tmx","1","Used in 1 issues","2025-10-16 06:16:56"
"Label","tshirt-1","1","Used in 1 issues","2025-10-16 06:16:56"
