"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 06:19:32"
"Summary","Total Issues Exported","162","Total number of issues exported","2025-10-16 06:19:32"
"Summary","Key to ID Mappings","162","Issue key to ID mappings created","2025-10-16 06:19:32"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 06:19:32"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 06:19:32"
"Issue Type","Epic","13","Count of issues by type","2025-10-16 06:19:32"
"Issue Type","Spike","5","Count of issues by type","2025-10-16 06:19:32"
"Issue Type","Initiative","8","Count of issues by type","2025-10-16 06:19:32"
"Issue Type","Bug","3","Count of issues by type","2025-10-16 06:19:32"
"Issue Type","Sub-task","45","Count of issues by type","2025-10-16 06:19:32"
"Issue Type","Task","2","Count of issues by type","2025-10-16 06:19:32"
"Issue Type","Story","86","Count of issues by type","2025-10-16 06:19:32"
"Status","In Progress","5","Count of issues by status","2025-10-16 06:19:32"
"Status","Refinement","23","Count of issues by status","2025-10-16 06:19:32"
"Status","Ready for Work","19","Count of issues by status","2025-10-16 06:19:32"
"Status","Backlog","115","Count of issues by status","2025-10-16 06:19:32"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 06:19:32"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 06:19:32"
