"SourceKey","TargetKey"
"PLAQ-1039","PLAQ1-28"
"PLAQ-1041","PLAQ1-98"
"PLAQ-1042","PLAQ1-26"
"PLAQ-1046","PLAQ1-20"
"PLAQ-1083","PLAQ1-6"
"PLAQ-1084","PLAQ1-7"
"PLAQ-1085","PLAQ1-8"
"PLAQ-1098","PLAQ1-5"
"PLAQ-1099","PLAQ1-1"
"PLAQ-1100","PLAQ1-2"
"PLAQ-1101","PLAQ1-3"
"PLAQ-1157","PLAQ1-55"
"PLAQ-1158","PLAQ1-58"
"PLAQ-1162","PLAQ1-15"
"PLAQ-1166","PLAQ1-56"
"PLAQ-1172","PLAQ1-57"
"PLAQ-1173","PLAQ1-59"
"PLAQ-1174","PLAQ1-44"
"PLAQ-1176","PLAQ1-69"
"PLAQ-1177","PLAQ1-60"
"PLAQ-1179","PLAQ1-19"
"PLAQ-1180","PLAQ1-101"
"PLAQ-1181","PLAQ1-4"
"PLAQ-1182","PLAQ1-78"
"PLAQ-1183","PLAQ1-77"
"PLAQ-1184","PLAQ1-76"
"PLAQ-1185","PLAQ1-75"
"PLAQ-1186","PLAQ1-106"
"PLAQ-151","PLAQ1-74"
"PLAQ-186","PLAQ1-9"
"PLAQ-188","PLAQ1-11"
"PLAQ-194","PLAQ1-73"
"PLAQ-212","PLAQ1-23"
"PLAQ-246","PLAQ1-21"
"PLAQ-248","PLAQ1-10"
"PLAQ-293","PLAQ1-71"
"PLAQ-297","PLAQ1-68"
"PLAQ-311","PLAQ1-54"
"PLAQ-314","PLAQ1-53"
"PLAQ-352","PLAQ1-67"
"PLAQ-360","PLAQ1-65"
"PLAQ-384","PLAQ1-130"
"PLAQ-385","PLAQ1-129"
"PLAQ-386","PLAQ1-128"
"PLAQ-387","PLAQ1-111"
"PLAQ-388","PLAQ1-114"
"PLAQ-435","PLAQ1-32"
"PLAQ-461","PLAQ1-62"
"PLAQ-463","PLAQ1-63"
"PLAQ-489","PLAQ1-30"
"PLAQ-570","PLAQ1-52"
"PLAQ-571","PLAQ1-51"
"PLAQ-578","PLAQ1-88"
"PLAQ-588","PLAQ1-87"
"PLAQ-589","PLAQ1-50"
"PLAQ-619","PLAQ1-109"
"PLAQ-620","PLAQ1-49"
"PLAQ-663","PLAQ1-86"
"PLAQ-664","PLAQ1-85"
"PLAQ-666","PLAQ1-45"
"PLAQ-667","PLAQ1-43"
"PLAQ-668","PLAQ1-84"
"PLAQ-676","PLAQ1-41"
"PLAQ-730","PLAQ1-40"
"PLAQ-735","PLAQ1-39"
"PLAQ-736","PLAQ1-38"
"PLAQ-737","PLAQ1-34"
"PLAQ-739","PLAQ1-33"
"PLAQ-742","PLAQ1-108"
"PLAQ-743","PLAQ1-133"
"PLAQ-744","PLAQ1-110"
"PLAQ-745","PLAQ1-125"
"PLAQ-746","PLAQ1-124"
"PLAQ-773","PLAQ1-82"
"PLAQ-776","PLAQ1-35"
"PLAQ-777","PLAQ1-36"
"PLAQ-778","PLAQ1-83"
"PLAQ-780","PLAQ1-123"
"PLAQ-781","PLAQ1-122"
"PLAQ-782","PLAQ1-121"
"PLAQ-783","PLAQ1-120"
"PLAQ-784","PLAQ1-126"
"PLAQ-785","PLAQ1-119"
"PLAQ-786","PLAQ1-117"
"PLAQ-787","PLAQ1-116"
"PLAQ-788","PLAQ1-115"
"PLAQ-789","PLAQ1-114"
"PLAQ-790","PLAQ1-113"
"PLAQ-791","PLAQ1-112"
"PLAQ-792","PLAQ1-118"
"PLAQ-793","PLAQ1-127"
"PLAQ-794","PLAQ1-131"
"PLAQ-795","PLAQ1-119"
"PLAQ-796","PLAQ1-117"
"PLAQ-797","PLAQ1-116"
"PLAQ-798","PLAQ1-115"
"PLAQ-799","PLAQ1-114"
"PLAQ-842","PLAQ1-31"
"PLAQ-861","PLAQ1-42"
"PLAQ-894","PLAQ1-7"
"PLAQ-895","PLAQ1-27"
"PLAQ-898","PLAQ1-25"
"PLAQ-900","PLAQ1-24"
"PLAQ-903","PLAQ1-132"
"PLAQ-904","PLAQ1-114"
"PLAQ-918","PLAQ1-22"
"PLAQ-919","PLAQ1-91"
"PLAQ-920","PLAQ1-8"
"PLAQ-924","PLAQ1-12"
"PLAQ-925","PLAQ1-17"
"PLAQ-962","PLAQ1-13"
"PLAQ-967","PLAQ1-95"
"PLAQ-969","PLAQ1-29"
"PLAQ-971","PLAQ1-18"
"PLAQ-978","PLAQ1-16"
"PLAQ-983","PLAQ1-14"
"PLAQ-992","PLAQ1-107"
