"Type","Name","Value","Details","Timestamp"
"Summary","Total Source Versions","10","Versions found in source project","2025-10-16 06:17:04"
"Summary","Versions Created","10","New versions created in target","2025-10-16 06:17:04"
"Summary","Existing Versions","0","Versions that already existed","2025-10-16 06:17:04"
"Summary","Failed Versions","0","Versions that failed to create","2025-10-16 06:17:04"
"Version","test","12641","Created from source version (ID: 11998)","2025-10-16 06:17:04"
"Version","E-2025.01","12642","Created from source version (ID: 12371)","2025-10-16 06:17:04"
"Version","E-2025.02","12643","Created from source version (ID: 12507)","2025-10-16 06:17:04"
"Version","E-2025.03","12644","Created from source version (ID: 12643)","2025-10-16 06:17:04"
"Version","E-2025.04","12645","Created from source version (ID: 12783)","2025-10-16 06:17:04"
"Version","E-2025.05","12646","Created from source version (ID: 12915)","2025-10-16 06:17:04"
"Version","E-2025.06","12647","Created from source version (ID: 13067)","2025-10-16 06:17:04"
"Version","E-2025.07","12648","Created from source version (ID: 13187)","2025-10-16 06:17:04"
"Version","E-2025.08","12649","Created from source version (ID: 13340)","2025-10-16 06:17:04"
"Version","E-2025.09","12650","Created from source version (ID: 13459)","2025-10-16 06:17:04"
