"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","14","Components found in source project","2025-10-16 06:38:24"
"Summary","Labels Captured","21","Unique labels found in source issues","2025-10-16 06:38:24"
"Summary","Components Created","34","Total components created in target","2025-10-16 06:38:24"
"Summary","Created From Source","14","Components copied from source project","2025-10-16 06:38:24"
"Summary","Created From Labels","20","Components created from label names","2025-10-16 06:38:24"
"Summary","Existing Components","1","Components that already existed","2025-10-16 06:38:24"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 06:38:24"
"Component","Change Control Administration","15468","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Change Management","15469","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Configuration Management","15470","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Data Center Facilities","15471","Created from SourceComponent","2025-10-16 06:38:24"
"Component","High Visibility","15472","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Incident Management","15473","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Monitoring","15474","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Observability & SRE","15475","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Problem Management","15476","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Production Services","15477","Created from SourceComponent","2025-10-16 06:38:24"
"Component","Release Management","15478","Created from SourceComponent","2025-10-16 06:38:24"
"Component","ServiceNow Data Analytics","15479","Created from SourceComponent","2025-10-16 06:38:24"
"Component","ServiceNow Platform","15480","Created from SourceComponent","2025-10-16 06:38:24"
"Component","TONCS","15481","Created from SourceComponent","2025-10-16 06:38:24"
"Component","ChangeManagement","15482","Created from Label","2025-10-16 06:38:24"
"Component","DR","15483","Created from Label","2025-10-16 06:38:24"
"Component","scripting","15484","Created from Label","2025-10-16 06:38:24"
"Component","Automation","15485","Created from Label","2025-10-16 06:38:24"
"Component","Azure","15486","Created from Label","2025-10-16 06:38:24"
"Component","Alerting","15487","Created from Label","2025-10-16 06:38:24"
"Component","Process","15488","Created from Label","2025-10-16 06:38:24"
"Component","Survey","15489","Created from Label","2025-10-16 06:38:24"
"Component","SMS/Text","15490","Created from Label","2025-10-16 06:38:24"
"Component","branch-networking","15491","Created from Label","2025-10-16 06:38:24"
"Component","cloud","15492","Created from Label","2025-10-16 06:38:24"
"Component","Documentation","15493","Created from Label","2025-10-16 06:38:24"
"Component","MBR","15494","Created from Label","2025-10-16 06:38:24"
"Component","confluence","15495","Created from Label","2025-10-16 06:38:24"
"Component","ActiveDirectory","15496","Created from Label","2025-10-16 06:38:24"
"Component","Synthetics","15497","Created from Label","2025-10-16 06:38:24"
"Component","branch","15498","Created from Label","2025-10-16 06:38:24"
"Component","Reporting","15499","Created from Label","2025-10-16 06:38:24"
"Component","CloudMigration","15500","Created from Label","2025-10-16 06:38:24"
"Component","Training","15501","Created from Label","2025-10-16 06:38:24"
"Component","Monitoring","15474","Already existed in target","2025-10-16 06:38:24"
"Label","Automation","2","Used in 2 issues","2025-10-16 06:38:24"
"Label","MBR","2","Used in 2 issues","2025-10-16 06:38:24"
"Label","ChangeManagement","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Reporting","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","branch","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Synthetics","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","ActiveDirectory","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","monitoring","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","confluence","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Documentation","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","cloud","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","branch-networking","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","SMS/Text","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Survey","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Process","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Alerting","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","Azure","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","scripting","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","DR","1","Used in 1 issues","2025-10-16 06:38:24"
"Label","CloudMigration","1","Used in 1 issues","2025-10-16 06:38:24"
