"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 06:39:51"
"Summary","Total Issues Exported","136","Total number of issues exported","2025-10-16 06:39:51"
"Summary","Key to ID Mappings","136","Issue key to ID mappings created","2025-10-16 06:39:51"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 06:39:51"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 06:39:51"
"Issue Type","Task","19","Count of issues by type","2025-10-16 06:39:51"
"Issue Type","Epic","62","Count of issues by type","2025-10-16 06:39:51"
"Issue Type","Sub-task","6","Count of issues by type","2025-10-16 06:39:51"
"Issue Type","Story","26","Count of issues by type","2025-10-16 06:39:51"
"Issue Type","Initiative","23","Count of issues by type","2025-10-16 06:39:51"
"Status","In Progress","59","Count of issues by status","2025-10-16 06:39:51"
"Status","Backlog","76","Count of issues by status","2025-10-16 06:39:51"
"Status","Testing","1","Count of issues by status","2025-10-16 06:39:51"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 06:39:51"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 06:39:51"
