"Type","Name","Value","Details","Timestamp"
"Summary","Total Source Versions","15","Versions found in source project","2025-10-16 06:38:37"
"Summary","Versions Created","15","New versions created in target","2025-10-16 06:38:37"
"Summary","Existing Versions","0","Versions that already existed","2025-10-16 06:38:37"
"Summary","Failed Versions","0","Versions that failed to create","2025-10-16 06:38:37"
"Version","E-2024.04","12651","Created from source version (ID: 11032)","2025-10-16 06:38:37"
"Version","E-2024.05","12652","Created from source version (ID: 11189)","2025-10-16 06:38:37"
"Version","E-2024.06","12653","Created from source version (ID: 11300)","2025-10-16 06:38:37"
"Version","E-2024.07","12654","Created from source version (ID: 11434)","2025-10-16 06:38:37"
"Version","E-2024.08","12655","Created from source version (ID: 11568)","2025-10-16 06:38:37"
"Version","test","12656","Created from source version (ID: 12000)","2025-10-16 06:38:37"
"Version","E-2025.01","12657","Created from source version (ID: 12373)","2025-10-16 06:38:37"
"Version","E-2025.02","12658","Created from source version (ID: 12509)","2025-10-16 06:38:37"
"Version","E-2025.03","12659","Created from source version (ID: 12645)","2025-10-16 06:38:37"
"Version","E-2025.04","12660","Created from source version (ID: 12787)","2025-10-16 06:38:37"
"Version","E-2025.05","12661","Created from source version (ID: 12917)","2025-10-16 06:38:37"
"Version","E-2025.06","12662","Created from source version (ID: 13071)","2025-10-16 06:38:37"
"Version","E-2025.07","12663","Created from source version (ID: 13189)","2025-10-16 06:38:37"
"Version","E-2025.08","12664","Created from source version (ID: 13344)","2025-10-16 06:38:37"
"Version","E-2025.09","12665","Created from source version (ID: 13461)","2025-10-16 06:38:37"
