"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","0","Components found in source project","2025-10-16 06:41:54"
"Summary","Labels Captured","5","Unique labels found in source issues","2025-10-16 06:41:54"
"Summary","Components Created","5","Total components created in target","2025-10-16 06:41:54"
"Summary","Created From Source","0","Components copied from source project","2025-10-16 06:41:54"
"Summary","Created From Labels","5","Components created from label names","2025-10-16 06:41:54"
"Summary","Existing Components","0","Components that already existed","2025-10-16 06:41:54"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 06:41:54"
"Component","ServiceFinance","15502","Created from Label","2025-10-16 06:41:54"
"Component","Finance","15503","Created from Label","2025-10-16 06:41:54"
"Component","Finmarket","15504","Created from Label","2025-10-16 06:41:54"
"Component","ProceedFinance","15505","Created from Label","2025-10-16 06:41:54"
"Component","POS","15506","Created from Label","2025-10-16 06:41:54"
"Label","Finance","4","Used in 4 issues","2025-10-16 06:41:55"
"Label","ProceedFinance","3","Used in 3 issues","2025-10-16 06:41:55"
"Label","POS","2","Used in 2 issues","2025-10-16 06:41:55"
"Label","ServiceFinance","1","Used in 1 issues","2025-10-16 06:41:55"
"Label","Finmarket","1","Used in 1 issues","2025-10-16 06:41:55"
