"SourceKey","TargetKey"
"POS-510","POS1-15"
"POS-511","POS1-4"
"POS-512","POS1-5"
"POS-513","POS1-6"
"POS-516","POS1-7"
"POS-518","POS1-39"
"POS-522","POS1-55"
"POS-524","POS1-8"
"POS-525","POS1-9"
"POS-532","POS1-31"
"POS-533","POS1-11"
"POS-538","POS1-54"
"POS-549","POS1-53"
"POS-551","POS1-13"
"POS-552","POS1-40"
"POS-554","POS1-12"
"POS-555","POS1-34"
"POS-556","POS1-51"
"POS-557","POS1-35"
"POS-558","POS1-52"
"POS-559","POS1-33"
"POS-560","POS1-32"
"POS-561","POS1-30"
"POS-562","POS1-29"
"POS-563","POS1-28"
"POS-564","POS1-3"
"POS-568","POS1-36"
"POS-569","POS1-50"
"POS-570","POS1-48"
"POS-572","POS1-47"
"POS-573","POS1-24"
"POS-575","POS1-56"
"POS-576","POS1-23"
"POS-577","POS1-46"
"POS-578","POS1-1"
"POS-579","POS1-2"
"POS-580","POS1-14"
"POS-582","POS1-10"
"POS-586","POS1-44"
"POS-587","POS1-49"
"POS-588","POS1-43"
"POS-589","POS1-42"
"POS-590","POS1-41"
"POS-591","POS1-19"
"POS-592","POS1-18"
"POS-593","POS1-16"
"POS-594","POS1-26"
"POS-595","POS1-17"
"POS-596","POS1-20"
"POS-597","POS1-21"
"POS-598","POS1-22"
"POS-599","POS1-38"
"POS-600","POS1-37"
"POS-601","POS1-25"
"POS-602","POS1-27"
