"SourceKey","TargetKey"
"QUAL-1","QUAL1-185"
"QUAL-10","QUAL1-175"
"QUAL-10188","QUAL1-305"
"QUAL-10191","QUAL1-304"
"QUAL-10203","QUAL1-303"
"QUAL-10207","QUAL1-302"
"QUAL-10212","QUAL1-301"
"QUAL-10214","QUAL1-300"
"QUAL-10221","QUAL1-52"
"QUAL-10224","QUAL1-53"
"QUAL-10259","QUAL1-296"
"QUAL-10264","QUAL1-295"
"QUAL-10272","QUAL1-54"
"QUAL-10278","QUAL1-566"
"QUAL-10279","QUAL1-55"
"QUAL-10288","QUAL1-56"
"QUAL-10302","QUAL1-291"
"QUAL-10307","QUAL1-319"
"QUAL-10308","QUAL1-567"
"QUAL-10309","QUAL1-568"
"QUAL-10310","QUAL1-569"
"QUAL-10311","QUAL1-570"
"QUAL-10312","QUAL1-571"
"QUAL-10313","QUAL1-572"
"QUAL-10314","QUAL1-573"
"QUAL-10315","QUAL1-574"
"QUAL-10316","QUAL1-588"
"QUAL-10317","QUAL1-600"
"QUAL-10318","QUAL1-601"
"QUAL-10319","QUAL1-602"
"QUAL-10320","QUAL1-627"
"QUAL-10321","QUAL1-628"
"QUAL-10322","QUAL1-629"
"QUAL-10323","QUAL1-630"
"QUAL-10324","QUAL1-631"
"QUAL-10325","QUAL1-632"
"QUAL-10326","QUAL1-633"
"QUAL-10327","QUAL1-634"
"QUAL-10328","QUAL1-635"
"QUAL-10329","QUAL1-637"
"QUAL-10330","QUAL1-647"
"QUAL-10331","QUAL1-638"
"QUAL-10332","QUAL1-639"
"QUAL-10333","QUAL1-640"
"QUAL-10334","QUAL1-641"
"QUAL-10335","QUAL1-642"
"QUAL-10336","QUAL1-643"
"QUAL-10337","QUAL1-644"
"QUAL-10338","QUAL1-645"
"QUAL-10339","QUAL1-646"
"QUAL-10340","QUAL1-626"
"QUAL-10341","QUAL1-636"
"QUAL-10342","QUAL1-625"
"QUAL-10343","QUAL1-612"
"QUAL-10344","QUAL1-484"
"QUAL-10345","QUAL1-475"
"QUAL-10346","QUAL1-476"
"QUAL-10347","QUAL1-477"
"QUAL-10348","QUAL1-478"
"QUAL-10349","QUAL1-479"
"QUAL-10350","QUAL1-480"
"QUAL-10351","QUAL1-481"
"QUAL-10352","QUAL1-482"
"QUAL-10353","QUAL1-483"
"QUAL-10354","QUAL1-417"
"QUAL-10355","QUAL1-416"
"QUAL-10356","QUAL1-415"
"QUAL-10359","QUAL1-159"
"QUAL-10360","QUAL1-368"
"QUAL-10361","QUAL1-347"
"QUAL-10363","QUAL1-348"
"QUAL-10364","QUAL1-349"
"QUAL-10365","QUAL1-350"
"QUAL-10366","QUAL1-351"
"QUAL-10367","QUAL1-352"
"QUAL-10368","QUAL1-353"
"QUAL-10369","QUAL1-354"
"QUAL-10370","QUAL1-355"
"QUAL-10371","QUAL1-357"
"QUAL-10372","QUAL1-367"
"QUAL-10373","QUAL1-358"
"QUAL-10374","QUAL1-359"
"QUAL-10375","QUAL1-360"
"QUAL-10376","QUAL1-361"
"QUAL-10377","QUAL1-362"
"QUAL-10417","QUAL1-281"
"QUAL-10419","QUAL1-280"
"QUAL-106","QUAL1-200"
"QUAL-10690","QUAL1-181"
"QUAL-10895","QUAL1-288"
"QUAL-10901","QUAL1-269"
"QUAL-10902","QUAL1-363"
"QUAL-10903","QUAL1-364"
"QUAL-10904","QUAL1-365"
"QUAL-10905","QUAL1-366"
"QUAL-10906","QUAL1-346"
"QUAL-10907","QUAL1-345"
"QUAL-10908","QUAL1-344"
"QUAL-10909","QUAL1-343"
"QUAL-10910","QUAL1-324"
"QUAL-10911","QUAL1-325"
"QUAL-10912","QUAL1-326"
"QUAL-10913","QUAL1-327"
"QUAL-10914","QUAL1-328"
"QUAL-10915","QUAL1-329"
"QUAL-10916","QUAL1-330"
"QUAL-10917","QUAL1-331"
"QUAL-10918","QUAL1-332"
"QUAL-10919","QUAL1-333"
"QUAL-10920","QUAL1-334"
"QUAL-10921","QUAL1-335"
"QUAL-10922","QUAL1-336"
"QUAL-10923","QUAL1-337"
"QUAL-10924","QUAL1-338"
"QUAL-10925","QUAL1-339"
"QUAL-10926","QUAL1-340"
"QUAL-10927","QUAL1-341"
"QUAL-10928","QUAL1-342"
"QUAL-10929","QUAL1-356"
"QUAL-10930","QUAL1-369"
"QUAL-10931","QUAL1-403"
"QUAL-10932","QUAL1-370"
"QUAL-10933","QUAL1-394"
"QUAL-10934","QUAL1-395"
"QUAL-10935","QUAL1-396"
"QUAL-10936","QUAL1-397"
"QUAL-10937","QUAL1-398"
"QUAL-10938","QUAL1-399"
