"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","4","Components found in source project","2025-10-16 07:18:30"
"Summary","Labels Captured","4","Unique labels found in source issues","2025-10-16 07:18:30"
"Summary","Components Created","7","Total components created in target","2025-10-16 07:18:30"
"Summary","Created From Source","4","Components copied from source project","2025-10-16 07:18:30"
"Summary","Created From Labels","3","Components created from label names","2025-10-16 07:18:30"
"Summary","Existing Components","1","Components that already existed","2025-10-16 07:18:30"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 07:18:30"
"Component","DevOps","15524","Created from SourceComponent","2025-10-16 07:18:30"
"Component","E-Sign Team","15525","Created from SourceComponent","2025-10-16 07:18:31"
"Component","eSignature","15526","Created from SourceComponent","2025-10-16 07:18:31"
"Component","PDF_Document_Generation","15527","Created from SourceComponent","2025-10-16 07:18:31"
"Component","ESS","15528","Created from Label","2025-10-16 07:18:31"
"Component","E-Signature","15529","Created from Label","2025-10-16 07:18:31"
"Component","QA","15530","Created from Label","2025-10-16 07:18:31"
"Component","eSignature","15526","Already existed in target","2025-10-16 07:18:31"
"Label","esignature","1","Used in 1 issues","2025-10-16 07:18:31"
"Label","ESS","1","Used in 1 issues","2025-10-16 07:18:31"
"Label","E-Signature","1","Used in 1 issues","2025-10-16 07:18:31"
"Label","QA","1","Used in 1 issues","2025-10-16 07:18:31"
