"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 07:19:39"
"Summary","Total Issues Exported","54","Total number of issues exported","2025-10-16 07:19:39"
"Summary","Key to ID Mappings","54","Issue key to ID mappings created","2025-10-16 07:19:39"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 07:19:39"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 07:19:39"
"Issue Type","Task","6","Count of issues by type","2025-10-16 07:19:39"
"Issue Type","Initiative","3","Count of issues by type","2025-10-16 07:19:39"
"Issue Type","Story","30","Count of issues by type","2025-10-16 07:19:39"
"Issue Type","Spike","9","Count of issues by type","2025-10-16 07:19:39"
"Issue Type","Epic","6","Count of issues by type","2025-10-16 07:19:39"
"Status","Backlog","34","Count of issues by status","2025-10-16 07:19:39"
"Status","In Progress","10","Count of issues by status","2025-10-16 07:19:39"
"Status","Ready for Work","10","Count of issues by status","2025-10-16 07:19:39"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 07:19:39"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 07:19:39"
