"SourceKey","TargetKey"
"SIGN-10","SIGN1-83"
"SIGN-109","SIGN1-95"
"SIGN-135","SIGN1-58"
"SIGN-148","SIGN1-96"
"SIGN-149","SIGN1-97"
"SIGN-150","SIGN1-98"
"SIGN-151","SIGN1-99"
"SIGN-154","SIGN1-57"
"SIGN-178","SIGN1-54"
"SIGN-182","SIGN1-53"
"SIGN-210","SIGN1-100"
"SIGN-216","SIGN1-101"
"SIGN-225","SIGN1-102"
"SIGN-228","SIGN1-103"
"SIGN-229","SIGN1-81"
"SIGN-237","SIGN1-61"
"SIGN-252","SIGN1-59"
"SIGN-253","SIGN1-104"
"SIGN-260","SIGN1-55"
"SIGN-263","SIGN1-62"
"SIGN-264","SIGN1-63"
"SIGN-265","SIGN1-65"
"SIGN-266","SIGN1-70"
"SIGN-267","SIGN1-64"
"SIGN-268","SIGN1-66"
"SIGN-269","SIGN1-69"
"SIGN-270","SIGN1-71"
"SIGN-271","SIGN1-55"
"SIGN-279","SIGN1-74"
"SIGN-283","SIGN1-75"
"SIGN-293","SIGN1-76"
"SIGN-298","SIGN1-77"
"SIGN-299","SIGN1-78"
"SIGN-300","SIGN1-80"
"SIGN-301","SIGN1-79"
"SIGN-302","SIGN1-73"
"SIGN-303","SIGN1-72"
"SIGN-304","SIGN1-68"
"SIGN-305","SIGN1-60"
"SIGN-306","SIGN1-67"
"SIGN-307","SIGN1-82"
"SIGN-41","SIGN1-105"
"SIGN-5","SIGN1-56"
"SIGN-52","SIGN1-88"
"SIGN-53","SIGN1-86"
"SIGN-54","SIGN1-85"
"SIGN-58","SIGN1-87"
"SIGN-59","SIGN1-84"
"SIGN-63","SIGN1-91"
"SIGN-65","SIGN1-89"
"SIGN-66","SIGN1-92"
"SIGN-69","SIGN1-90"
"SIGN-76","SIGN1-93"
"SIGN-86","SIGN1-94"
