"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","99","Components found in source project","2025-10-16 07:23:24"
"Summary","Labels Captured","35","Unique labels found in source issues","2025-10-16 07:23:24"
"Summary","Components Created","123","Total components created in target","2025-10-16 07:23:24"
"Summary","Created From Source","99","Components copied from source project","2025-10-16 07:23:24"
"Summary","Created From Labels","24","Components created from label names","2025-10-16 07:23:24"
"Summary","Existing Components","11","Components that already existed","2025-10-16 07:23:24"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 07:23:24"
"Component","Ad Hoc","15534","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Adobe","15535","Created from SourceComponent","2025-10-16 07:23:24"
"Component","AlertManager","15536","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Ansible","15537","Created from SourceComponent","2025-10-16 07:23:24"
"Component","APM","15538","Created from SourceComponent","2025-10-16 07:23:24"
"Component","AppD","15539","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Auto","15540","Created from SourceComponent","2025-10-16 07:23:24"
"Component","AWS","15541","Created from SourceComponent","2025-10-16 07:23:24"
"Component","AWS access","15542","Created from SourceComponent","2025-10-16 07:23:24"
"Component","AWS-Cloudwatch","15543","Created from SourceComponent","2025-10-16 07:23:24"
"Component","AWS-EKS","15544","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Azure","15545","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Azure - monitoring","15546","Created from SourceComponent","2025-10-16 07:23:24"
"Component","BigPanda","15547","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Branch Monitoring","15548","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Cards","15549","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Chatbot","15550","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Citrix","15551","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Citrix team","15552","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Class","15553","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Co-pilot Studio","15554","Created from SourceComponent","2025-10-16 07:23:24"
"Component","ControlUp","15555","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Critical Project","15556","Created from SourceComponent","2025-10-16 07:23:24"
"Component","CTO","15557","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Data Base Team","15558","Created from SourceComponent","2025-10-16 07:23:24"
"Component","DataComm","15559","Created from SourceComponent","2025-10-16 07:23:24"
"Component","DBE","15560","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Development","15561","Created from SourceComponent","2025-10-16 07:23:24"
"Component","DEVO","15562","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Documentation","15563","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Docusign","15564","Created from SourceComponent","2025-10-16 07:23:24"
"Component","elas","15565","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Elastic","15566","Created from SourceComponent","2025-10-16 07:23:24"
"Component","ELF","15567","Created from SourceComponent","2025-10-16 07:23:24"
"Component","EMC","15568","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Firewall","15569","Created from SourceComponent","2025-10-16 07:23:24"
"Component","FrontEnd","15570","Created from SourceComponent","2025-10-16 07:23:24"
"Component","GitHub","15571","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Grafana","15572","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Grafana - board removal","15573","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Grafana - maintenance","15574","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Grafana - new board build out","15575","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Grafana - revamp","15576","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Heap","15577","Created from SourceComponent","2025-10-16 07:23:24"
"Component","INEN - team","15578","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Key Projects","15579","Created from SourceComponent","2025-10-16 07:23:24"
"Component","L2 team","15580","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Linux","15581","Created from SourceComponent","2025-10-16 07:23:24"
"Component","MABL","15582","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Main Frame","15583","Created from SourceComponent","2025-10-16 07:23:24"
"Component","MBR","15584","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Mobius","15585","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Mulesoft","15586","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Netscaler","15587","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Network","15588","Created from SourceComponent","2025-10-16 07:23:24"
"Component","NGINX","15589","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Okta","15590","Created from SourceComponent","2025-10-16 07:23:24"
"Component","OnCall","15591","Created from SourceComponent","2025-10-16 07:23:24"
"Component","OpenShift","15592","Created from SourceComponent","2025-10-16 07:23:24"
"Component","OpenTelemetry","15593","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Opsramp","15594","Created from SourceComponent","2025-10-16 07:23:24"
"Component","OTEL","15595","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Pager Duty","15596","Created from SourceComponent","2025-10-16 07:23:24"
"Component","PagerDuty","15597","Created from SourceComponent","2025-10-16 07:23:24"
"Component","PFC Team","15598","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Pingdom","15599","Created from SourceComponent","2025-10-16 07:23:24"
"Component","PLOS - team","15600","Created from SourceComponent","2025-10-16 07:23:24"
"Component","PNM","15601","Created from SourceComponent","2025-10-16 07:23:24"
"Component","PostgreSQL","15602","Created from SourceComponent","2025-10-16 07:23:24"
"Component","Power Automate","15603","Created from SourceComponent","2025-10-16 07:23:24"
