"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 07:25:04"
"Summary","Total Issues Exported","152","Total number of issues exported","2025-10-16 07:25:04"
"Summary","Key to ID Mappings","152","Issue key to ID mappings created","2025-10-16 07:25:04"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 07:25:04"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 07:25:04"
"Issue Type","Task","3","Count of issues by type","2025-10-16 07:25:04"
"Issue Type","Initiative","1","Count of issues by type","2025-10-16 07:25:04"
"Issue Type","Sub-task","9","Count of issues by type","2025-10-16 07:25:04"
"Issue Type","Story","110","Count of issues by type","2025-10-16 07:25:04"
"Issue Type","Epic","29","Count of issues by type","2025-10-16 07:25:04"
"Status","Done","4","Count of issues by status","2025-10-16 07:25:04"
"Status","Acceptance","10","Count of issues by status","2025-10-16 07:25:04"
"Status","Ready for Work","5","Count of issues by status","2025-10-16 07:25:04"
"Status","In Progress","45","Count of issues by status","2025-10-16 07:25:04"
"Status","Blocked","11","Count of issues by status","2025-10-16 07:25:04"
"Status","Testing","5","Count of issues by status","2025-10-16 07:25:04"
"Status","Backlog","65","Count of issues by status","2025-10-16 07:25:04"
"Status","Refinement","7","Count of issues by status","2025-10-16 07:25:04"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 07:25:04"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 07:25:04"
