"SourceKey","TargetKey"
"SRE-1503","SRE1-21"
"SRE-1984","SRE1-22"
"SRE-1987","SRE1-88"
"SRE-2113","SRE1-87"
"SRE-2254","SRE1-14"
"SRE-2257","SRE1-23"
"SRE-2437","SRE1-86"
"SRE-2481","SRE1-37"
"SRE-2483","SRE1-85"
"SRE-2539","SRE1-82"
"SRE-2567","SRE1-39"
"SRE-2608","SRE1-58"
"SRE-2609","SRE1-83"
"SRE-2634","SRE1-40"
"SRE-2693","SRE1-41"
"SRE-2696","SRE1-80"
"SRE-2716","SRE1-49"
"SRE-2738","SRE1-26"
"SRE-2747","SRE1-24"
"SRE-2755","SRE1-59"
"SRE-2783","SRE1-84"
"SRE-2789","SRE1-38"
"SRE-2814","SRE1-42"
"SRE-2839","SRE1-93"
"SRE-2856","SRE1-92"
"SRE-2861","SRE1-36"
"SRE-2862","SRE1-111"
"SRE-2864","SRE1-110"
"SRE-2865","SRE1-32"
"SRE-2866","SRE1-108"
"SRE-2876","SRE1-107"
"SRE-2877","SRE1-106"
"SRE-2881","SRE1-31"
"SRE-2882","SRE1-104"
"SRE-2883","SRE1-103"
"SRE-2884","SRE1-102"
"SRE-2890","SRE1-30"
"SRE-2891","SRE1-101"
"SRE-2892","SRE1-100"
"SRE-2904","SRE1-28"
"SRE-2910","SRE1-60"
"SRE-2913","SRE1-33"
"SRE-2914","SRE1-97"
"SRE-2915","SRE1-96"
"SRE-2927","SRE1-95"
"SRE-2929","SRE1-94"
"SRE-2946","SRE1-16"
"SRE-2948","SRE1-62"
"SRE-2952","SRE1-98"
"SRE-2953","SRE1-99"
"SRE-2961","SRE1-73"
"SRE-2964","SRE1-105"
"SRE-2965","SRE1-109"
"SRE-2967","SRE1-13"
"SRE-2968","SRE1-112"
"SRE-2969","SRE1-113"
"SRE-2970","SRE1-63"
"SRE-2988","SRE1-34"
"SRE-3001","SRE1-69"
"SRE-3002","SRE1-78"
"SRE-3009","SRE1-81"
"SRE-3011","SRE1-25"
"SRE-3017","SRE1-90"
"SRE-3018","SRE1-64"
"SRE-3019","SRE1-162"
"SRE-3020","SRE1-156"
"SRE-3022","SRE1-74"
"SRE-3023","SRE1-71"
"SRE-3026","SRE1-70"
"SRE-3033","SRE1-148"
"SRE-3036","SRE1-89"
"SRE-3054","SRE1-29"
"SRE-3056","SRE1-79"
"SRE-3063","SRE1-65"
"SRE-3064","SRE1-140"
"SRE-3066","SRE1-66"
"SRE-3068","SRE1-68"
"SRE-3073","SRE1-67"
"SRE-3077","SRE1-19"
"SRE-3078","SRE1-111"
"SRE-3108","SRE1-143"
"SRE-3109","SRE1-159"
"SRE-3110","SRE1-158"
"SRE-3111","SRE1-75"
"SRE-3112","SRE1-18"
"SRE-3117","SRE1-17"
"SRE-3126","SRE1-144"
"SRE-3128","SRE1-135"
"SRE-3130","SRE1-137"
"SRE-3131","SRE1-117"
"SRE-3134","SRE1-35"
"SRE-3136","SRE1-76"
"SRE-3139","SRE1-15"
"SRE-3142","SRE1-77"
"SRE-3145","SRE1-161"
"SRE-3149","SRE1-72"
"SRE-3152","SRE1-124"
"SRE-3153","SRE1-139"
"SRE-3159","SRE1-91"
"SRE-3160","SRE1-134"
"SRE-3161","SRE1-133"
"SRE-3163","SRE1-132"
"SRE-3164","SRE1-131"
"SRE-3165","SRE1-130"
"SRE-3166","SRE1-129"
"SRE-3167","SRE1-128"
"SRE-3168","SRE1-127"
"SRE-3169","SRE1-126"
"SRE-3171","SRE1-125"
"SRE-3173","SRE1-27"
"SRE-3175","SRE1-123"
"SRE-3180","SRE1-122"
"SRE-3182","SRE1-121"
"SRE-3187","SRE1-57"
"SRE-3206","SRE1-154"
"SRE-3211","SRE1-155"
"SRE-3212","SRE1-157"
"SRE-3215","SRE1-120"
"SRE-3217","SRE1-46"
"SRE-3218","SRE1-45"
"SRE-3221","SRE1-44"
"SRE-3224","SRE1-119"
"SRE-3225","SRE1-118"
"SRE-3227","SRE1-61"
"SRE-3228","SRE1-47"
"SRE-3229","SRE1-48"
"SRE-3230","SRE1-136"
"SRE-3232","SRE1-146"
"SRE-3233","SRE1-138"
"SRE-3234","SRE1-152"
"SRE-3235","SRE1-151"
"SRE-3236","SRE1-150"
"SRE-3237","SRE1-149"
"SRE-3238","SRE1-160"
"SRE-3240","SRE1-153"
"SRE-3241","SRE1-147"
"SRE-3242","SRE1-145"
"SRE-3243","SRE1-43"
"SRE-3245","SRE1-51"
"SRE-3246","SRE1-52"
"SRE-3247","SRE1-53"
"SRE-3253","SRE1-54"
"SRE-3257","SRE1-142"
"SRE-3258","SRE1-50"
"SRE-3259","SRE1-55"
"SRE-3260","SRE1-20"
"SRE-3261","SRE1-141"
"SRE-3262","SRE1-56"
"SRE-333","SRE1-115"
"SRE-364","SRE1-116"
"SRE-572","SRE1-114"
