"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required","Timestamp"
"SRE-3073","https://onemain.atlassian.net/browse/SRE-3073","SRE1-67","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-67","Blocks","outward","SRE-2968","https://onemain.atlassian.net/browse/SRE-2968","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-3258","https://onemain.atlassian.net/browse/SRE-3258","SRE1-50","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-50","Cloners","outward","SRE-2970","https://onemain.atlassian.net/browse/SRE-2970","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2634","https://onemain.atlassian.net/browse/SRE-2634","SRE1-40","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-40","Relates","inward","SRE-2567","https://onemain.atlassian.net/browse/SRE-2567","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2839","https://onemain.atlassian.net/browse/SRE-2839","SRE1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-93","Relates","inward","SRE-2968","https://onemain.atlassian.net/browse/SRE-2968","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2839","https://onemain.atlassian.net/browse/SRE-2839","SRE1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-93","Blocks","inward","SRE-2968","https://onemain.atlassian.net/browse/SRE-2968","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2861","https://onemain.atlassian.net/browse/SRE-2861","SRE1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-36","Cloners","inward","SRE-2988","https://onemain.atlassian.net/browse/SRE-2988","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2864","https://onemain.atlassian.net/browse/SRE-2864","SRE1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-110","Cloners","inward","SRE-2952","https://onemain.atlassian.net/browse/SRE-2952","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2864","https://onemain.atlassian.net/browse/SRE-2864","SRE1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-110","Cloners","inward","SRE-2953","https://onemain.atlassian.net/browse/SRE-2953","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2864","https://onemain.atlassian.net/browse/SRE-2864","SRE1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-110","Blocks","inward","SRE-2953","https://onemain.atlassian.net/browse/SRE-2953","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2929","https://onemain.atlassian.net/browse/SRE-2929","SRE1-94","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-94","Relates","inward","SRE-2953","https://onemain.atlassian.net/browse/SRE-2953","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
"SRE-2929","https://onemain.atlassian.net/browse/SRE-2929","SRE1-94","https://onemainfinancial-migrationsandbox.atlassian.net/browse/SRE1-94","Blocks","outward","SRE-2864","https://onemain.atlassian.net/browse/SRE-2864","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:55:25"
