"SourceKey","TargetKey"
"TCET-1","TCET1-677"
"TCET-10","TCET1-680"
"TCET-100","TCET1-1887"
"TCET-1003","TCET1-900"
"TCET-1006","TCET1-868"
"TCET-1007","TCET1-272"
"TCET-1008","TCET1-901"
"TCET-101","TCET1-1891"
"TCET-1010","TCET1-874"
"TCET-1011","TCET1-869"
"TCET-1012","TCET1-870"
"TCET-1013","TCET1-860"
"TCET-1014","TCET1-218"
"TCET-1018","TCET1-140"
"TCET-1019","TCET1-132"
"TCET-102","TCET1-1870"
"TCET-1020","TCET1-219"
"TCET-1021","TCET1-220"
"TCET-1024","TCET1-141"
"TCET-1025","TCET1-2148"
"TCET-1026","TCET1-2140"
"TCET-1027","TCET1-2158"
"TCET-1028","TCET1-2149"
"TCET-1029","TCET1-133"
"TCET-103","TCET1-1948"
"TCET-1030","TCET1-222"
"TCET-1032","TCET1-230"
"TCET-1038","TCET1-176"
"TCET-1039","TCET1-142"
"TCET-104","TCET1-1865"
"TCET-1040","TCET1-143"
"TCET-1041","TCET1-134"
"TCET-1042","TCET1-223"
"TCET-1043","TCET1-144"
"TCET-1045","TCET1-135"
"TCET-1046","TCET1-145"
"TCET-1047","TCET1-177"
"TCET-1049","TCET1-146"
"TCET-105","TCET1-1892"
"TCET-1051","TCET1-136"
"TCET-1055","TCET1-224"
"TCET-1057","TCET1-149"
"TCET-1059","TCET1-168"
"TCET-106","TCET1-1950"
"TCET-1060","TCET1-147"
"TCET-1061","TCET1-157"
"TCET-1062","TCET1-150"
"TCET-1063","TCET1-148"
"TCET-1064","TCET1-151"
"TCET-1065","TCET1-225"
"TCET-1066","TCET1-152"
"TCET-1067","TCET1-153"
"TCET-1068","TCET1-154"
"TCET-1069","TCET1-169"
"TCET-107","TCET1-1893"
"TCET-1072","TCET1-155"
"TCET-1074","TCET1-170"
"TCET-1075","TCET1-156"
"TCET-1076","TCET1-171"
"TCET-1077","TCET1-226"
"TCET-108","TCET1-1880"
"TCET-1081","TCET1-227"
"TCET-1082","TCET1-158"
"TCET-1083","TCET1-228"
"TCET-1085","TCET1-137"
"TCET-1086","TCET1-229"
"TCET-1087","TCET1-180"
"TCET-1089","TCET1-179"
"TCET-109","TCET1-1874"
"TCET-1090","TCET1-172"
"TCET-1092","TCET1-178"
"TCET-1093","TCET1-167"
"TCET-1094","TCET1-159"
"TCET-1095","TCET1-138"
"TCET-1096","TCET1-173"
"TCET-1098","TCET1-160"
"TCET-1099","TCET1-174"
"TCET-11","TCET1-694"
"TCET-110","TCET1-1894"
"TCET-1103","TCET1-127"
"TCET-1104","TCET1-175"
"TCET-1105","TCET1-128"
"TCET-1106","TCET1-129"
"TCET-1107","TCET1-139"
"TCET-1109","TCET1-130"
"TCET-111","TCET1-1873"
"TCET-1110","TCET1-161"
"TCET-1111","TCET1-162"
"TCET-1112","TCET1-131"
"TCET-1114","TCET1-58"
"TCET-1115","TCET1-61"
"TCET-1116","TCET1-59"
"TCET-1118","TCET1-60"
"TCET-1119","TCET1-237"
"TCET-112","TCET1-1866"
"TCET-1120","TCET1-125"
"TCET-1121","TCET1-126"
"TCET-1122","TCET1-197"
"TCET-1123","TCET1-238"
"TCET-1124","TCET1-239"
"TCET-1127","TCET1-52"
"TCET-1129","TCET1-198"
"TCET-113","TCET1-1956"
"TCET-1130","TCET1-199"
"TCET-1131","TCET1-184"
"TCET-1132","TCET1-240"
"TCET-1133","TCET1-245"
"TCET-1134","TCET1-185"
"TCET-1135","TCET1-241"
"TCET-1136","TCET1-242"
"TCET-1137","TCET1-243"
"TCET-1138","TCET1-186"
"TCET-1139","TCET1-187"
"TCET-114","TCET1-1951"
"TCET-1140","TCET1-189"
"TCET-1141","TCET1-200"
"TCET-1142","TCET1-40"
"TCET-1144","TCET1-34"
"TCET-1145","TCET1-194"
"TCET-1146","TCET1-35"
"TCET-1147","TCET1-201"
"TCET-1148","TCET1-36"
"TCET-1149","TCET1-202"
"TCET-115","TCET1-1867"
"TCET-1151","TCET1-244"
"TCET-1152","TCET1-203"
"TCET-1153","TCET1-205"
"TCET-1157","TCET1-211"
"TCET-1159","TCET1-37"
"TCET-116","TCET1-1879"
"TCET-1161","TCET1-190"
"TCET-1162","TCET1-38"
"TCET-1163","TCET1-206"
"TCET-1164","TCET1-191"
"TCET-1165","TCET1-207"
"TCET-1168","TCET1-208"
"TCET-117","TCET1-1868"
"TCET-1170","TCET1-232"
"TCET-1171","TCET1-192"
"TCET-1172","TCET1-39"
"TCET-1173","TCET1-209"
"TCET-1174","TCET1-193"
"TCET-1178","TCET1-210"
"TCET-118","TCET1-1869"
"TCET-1180","TCET1-195"
"TCET-1181","TCET1-41"
"TCET-1182","TCET1-213"
"TCET-1184","TCET1-231"
"TCET-1185","TCET1-221"
"TCET-119","TCET1-1896"
"TCET-1191","TCET1-204"
"TCET-1192","TCET1-42"
"TCET-1193","TCET1-214"
"TCET-1194","TCET1-233"
"TCET-1195","TCET1-43"
"TCET-1196","TCET1-196"
"TCET-1197","TCET1-215"
"TCET-1198","TCET1-188"
