"SourceKey","TargetKey"
"UN-1","UN1-21"
"UN-10","UN1-5"
"UN-100","UN1-59"
"UN-106","UN1-60"
"UN-107","UN1-77"
"UN-108","UN1-65"
"UN-11","UN1-1"
"UN-110","UN1-26"
"UN-111","UN1-88"
"UN-112","UN1-87"
"UN-113","UN1-86"
"UN-114","UN1-85"
"UN-115","UN1-28"
"UN-116","UN1-84"
"UN-117","UN1-83"
"UN-118","UN1-82"
"UN-119","UN1-52"
"UN-120","UN1-81"
"UN-121","UN1-80"
"UN-122","UN1-79"
"UN-123","UN1-90"
"UN-124","UN1-78"
"UN-125","UN1-76"
"UN-126","UN1-75"
"UN-127","UN1-35"
"UN-128","UN1-74"
"UN-136","UN1-73"
"UN-137","UN1-72"
"UN-138","UN1-145"
"UN-152","UN1-16"
"UN-153","UN1-144"
"UN-154","UN1-138"
"UN-155","UN1-70"
"UN-156","UN1-71"
"UN-157","UN1-69"
"UN-158","UN1-67"
"UN-159","UN1-68"
"UN-160","UN1-66"
"UN-161","UN1-64"
"UN-174","UN1-116"
"UN-177","UN1-52"
"UN-180","UN1-115"
"UN-181","UN1-114"
"UN-182","UN1-52"
"UN-185","UN1-113"
"UN-191","UN1-112"
"UN-193","UN1-111"
"UN-194","UN1-146"
"UN-196","UN1-110"
"UN-200","UN1-109"
"UN-202","UN1-13"
"UN-203","UN1-12"
"UN-204","UN1-11"
"UN-207","UN1-108"
"UN-210","UN1-52"
"UN-214","UN1-58"
"UN-215","UN1-57"
"UN-216","UN1-106"
"UN-217","UN1-105"
"UN-219","UN1-104"
"UN-222","UN1-103"
"UN-224","UN1-55"
"UN-225","UN1-54"
"UN-226","UN1-49"
"UN-227","UN1-102"
"UN-23","UN1-27"
"UN-233","UN1-101"
"UN-24","UN1-34"
"UN-241","UN1-100"
"UN-244","UN1-38"
"UN-246","UN1-99"
"UN-247","UN1-98"
"UN-248","UN1-97"
"UN-249","UN1-52"
"UN-25","UN1-33"
"UN-250","UN1-52"
"UN-253","UN1-30"
"UN-254","UN1-96"
"UN-259","UN1-95"
"UN-262","UN1-51"
"UN-264","UN1-94"
"UN-267","UN1-29"
"UN-27","UN1-62"
"UN-271","UN1-50"
"UN-276","UN1-119"
"UN-277","UN1-118"
"UN-284","UN1-131"
"UN-289","UN1-107"
"UN-292","UN1-42"
"UN-293","UN1-47"
"UN-294","UN1-46"
"UN-295","UN1-44"
"UN-296","UN1-43"
"UN-297","UN1-41"
"UN-298","UN1-40"
"UN-3","UN1-20"
"UN-300","UN1-120"
"UN-301","UN1-142"
"UN-302","UN1-141"
"UN-308","UN1-10"
"UN-309","UN1-4"
"UN-310","UN1-25"
"UN-311","UN1-24"
"UN-312","UN1-6"
"UN-313","UN1-7"
"UN-314","UN1-8"
"UN-315","UN1-9"
"UN-316","UN1-19"
"UN-326","UN1-45"
"UN-327","UN1-53"
"UN-329","UN1-48"
"UN-330","UN1-140"
"UN-331","UN1-39"
"UN-334","UN1-32"
"UN-336","UN1-32"
"UN-337","UN1-139"
"UN-338","UN1-23"
"UN-339","UN1-2"
"UN-340","UN1-92"
"UN-341","UN1-137"
"UN-343","UN1-136"
"UN-344","UN1-135"
"UN-345","UN1-134"
"UN-346","UN1-133"
"UN-347","UN1-143"
"UN-348","UN1-132"
"UN-349","UN1-130"
"UN-350","UN1-56"
"UN-351","UN1-129"
"UN-352","UN1-128"
"UN-353","UN1-127"
"UN-354","UN1-126"
"UN-355","UN1-125"
"UN-356","UN1-124"
"UN-357","UN1-123"
"UN-358","UN1-122"
"UN-359","UN1-121"
"UN-360","UN1-93"
"UN-361","UN1-117"
"UN-362","UN1-91"
"UN-363","UN1-89"
"UN-364","UN1-37"
"UN-38","UN1-22"
"UN-4","UN1-18"
"UN-47","UN1-63"
"UN-5","UN1-36"
"UN-6","UN1-17"
"UN-7","UN1-15"
"UN-8","UN1-14"
"UN-86","UN1-61"
"UN-9","UN1-3"
"UN-95","UN1-52"
