"SourceKey","TargetKey"
"UPT-1001","UPT1-93"
"UPT-1002","UPT1-28"
"UPT-1003","UPT1-174"
"UPT-1004","UPT1-175"
"UPT-1005","UPT1-176"
"UPT-1006","UPT1-177"
"UPT-1010","UPT1-94"
"UPT-1011","UPT1-95"
"UPT-1012","UPT1-96"
"UPT-1013","UPT1-97"
"UPT-1014","UPT1-98"
"UPT-1015","UPT1-99"
"UPT-1016","UPT1-100"
"UPT-1017","UPT1-101"
"UPT-1018","UPT1-102"
"UPT-1019","UPT1-103"
"UPT-1020","UPT1-104"
"UPT-1021","UPT1-105"
"UPT-1022","UPT1-106"
"UPT-1023","UPT1-124"
"UPT-1024","UPT1-125"
"UPT-1028","UPT1-131"
"UPT-103","UPT1-157"
"UPT-1031","UPT1-180"
"UPT-1036","UPT1-195"
"UPT-1037","UPT1-211"
"UPT-1038","UPT1-208"
"UPT-1039","UPT1-182"
"UPT-1040","UPT1-128"
"UPT-1041","UPT1-129"
"UPT-1042","UPT1-161"
"UPT-1043","UPT1-91"
"UPT-1044","UPT1-126"
"UPT-1045","UPT1-130"
"UPT-1046","UPT1-127"
"UPT-1047","UPT1-160"
"UPT-1048","UPT1-87"
"UPT-1051","UPT1-133"
"UPT-1052","UPT1-132"
"UPT-1054","UPT1-162"
"UPT-1055","UPT1-164"
"UPT-1056","UPT1-165"
"UPT-1057","UPT1-168"
"UPT-1058","UPT1-150"
"UPT-1060","UPT1-142"
"UPT-1064","UPT1-134"
"UPT-1066","UPT1-135"
"UPT-1067","UPT1-136"
"UPT-1068","UPT1-139"
"UPT-12","UPT1-9"
"UPT-13","UPT1-10"
"UPT-134","UPT1-24"
"UPT-135","UPT1-48"
"UPT-14","UPT1-12"
"UPT-15","UPT1-37"
"UPT-155","UPT1-50"
"UPT-158","UPT1-52"
"UPT-164","UPT1-153"
"UPT-17","UPT1-163"
"UPT-18","UPT1-11"
"UPT-183","UPT1-89"
"UPT-187","UPT1-77"
"UPT-188","UPT1-53"
"UPT-19","UPT1-15"
"UPT-20","UPT1-16"
"UPT-201","UPT1-181"
"UPT-204","UPT1-57"
"UPT-214","UPT1-30"
"UPT-216","UPT1-170"
"UPT-242","UPT1-56"
"UPT-264","UPT1-55"
"UPT-274","UPT1-54"
"UPT-28","UPT1-18"
"UPT-29","UPT1-26"
"UPT-297","UPT1-1"
"UPT-30","UPT1-19"
"UPT-332","UPT1-173"
"UPT-333","UPT1-178"
"UPT-334","UPT1-179"
"UPT-364","UPT1-88"
"UPT-370","UPT1-183"
"UPT-371","UPT1-193"
"UPT-372","UPT1-184"
"UPT-373","UPT1-185"
"UPT-407","UPT1-186"
"UPT-409","UPT1-187"
"UPT-415","UPT1-13"
"UPT-420","UPT1-29"
"UPT-421","UPT1-188"
"UPT-422","UPT1-189"
"UPT-424","UPT1-190"
"UPT-425","UPT1-148"
"UPT-426","UPT1-140"
"UPT-427","UPT1-192"
"UPT-428","UPT1-191"
"UPT-429","UPT1-167"
"UPT-430","UPT1-49"
"UPT-436","UPT1-25"
"UPT-438","UPT1-47"
"UPT-439","UPT1-46"
"UPT-440","UPT1-45"
"UPT-442","UPT1-44"
"UPT-443","UPT1-43"
"UPT-444","UPT1-42"
"UPT-446","UPT1-41"
"UPT-447","UPT1-40"
"UPT-448","UPT1-39"
"UPT-449","UPT1-38"
"UPT-450","UPT1-20"
"UPT-451","UPT1-14"
"UPT-452","UPT1-36"
"UPT-453","UPT1-58"
"UPT-454","UPT1-59"
"UPT-455","UPT1-60"
"UPT-456","UPT1-61"
"UPT-457","UPT1-85"
"UPT-458","UPT1-83"
"UPT-459","UPT1-82"
"UPT-46","UPT1-21"
"UPT-460","UPT1-81"
"UPT-463","UPT1-80"
"UPT-464","UPT1-79"
"UPT-465","UPT1-78"
"UPT-467","UPT1-207"
"UPT-469","UPT1-8"
"UPT-470","UPT1-76"
"UPT-477","UPT1-2"
"UPT-478","UPT1-6"
"UPT-479","UPT1-5"
"UPT-480","UPT1-3"
"UPT-481","UPT1-4"
"UPT-482","UPT1-17"
"UPT-483","UPT1-70"
"UPT-484","UPT1-69"
"UPT-485","UPT1-68"
"UPT-486","UPT1-67"
"UPT-487","UPT1-66"
"UPT-488","UPT1-65"
"UPT-496","UPT1-27"
"UPT-497","UPT1-64"
"UPT-498","UPT1-63"
"UPT-499","UPT1-62"
"UPT-5","UPT1-84"
"UPT-500","UPT1-35"
"UPT-501","UPT1-73"
"UPT-502","UPT1-171"
"UPT-503","UPT1-147"
"UPT-504","UPT1-146"
"UPT-505","UPT1-145"
"UPT-542","UPT1-144"
"UPT-546","UPT1-34"
"UPT-596","UPT1-141"
"UPT-597","UPT1-71"
"UPT-606","UPT1-121"
"UPT-607","UPT1-72"
"UPT-609","UPT1-138"
"UPT-622","UPT1-137"
"UPT-64","UPT1-22"
"UPT-641","UPT1-120"
"UPT-642","UPT1-119"
"UPT-644","UPT1-118"
"UPT-645","UPT1-74"
"UPT-646","UPT1-86"
"UPT-647","UPT1-75"
"UPT-655","UPT1-169"
"UPT-662","UPT1-152"
"UPT-671","UPT1-116"
"UPT-673","UPT1-154"
"UPT-677","UPT1-110"
"UPT-7","UPT1-7"
"UPT-701","UPT1-155"
"UPT-721","UPT1-156"
"UPT-722","UPT1-158"
"UPT-750","UPT1-159"
"UPT-790","UPT1-33"
"UPT-803","UPT1-111"
"UPT-804","UPT1-112"
"UPT-805","UPT1-113"
"UPT-806","UPT1-114"
"UPT-807","UPT1-115"
"UPT-823","UPT1-216"
"UPT-824","UPT1-215"
"UPT-844","UPT1-214"
"UPT-846","UPT1-166"
"UPT-880","UPT1-151"
"UPT-886","UPT1-90"
"UPT-891","UPT1-117"
"UPT-906","UPT1-149"
"UPT-907","UPT1-143"
"UPT-908","UPT1-32"
"UPT-909","UPT1-122"
"UPT-910","UPT1-123"
"UPT-911","UPT1-109"
"UPT-912","UPT1-108"
"UPT-913","UPT1-107"
"UPT-917","UPT1-172"
"UPT-923","UPT1-197"
"UPT-924","UPT1-198"
"UPT-932","UPT1-199"
"UPT-935","UPT1-200"
"UPT-936","UPT1-201"
"UPT-938","UPT1-202"
"UPT-947","UPT1-203"
"UPT-953","UPT1-204"
"UPT-956","UPT1-205"
"UPT-961","UPT1-196"
"UPT-964","UPT1-206"
"UPT-969","UPT1-213"
"UPT-974","UPT1-212"
"UPT-976","UPT1-210"
"UPT-977","UPT1-209"
"UPT-98","UPT1-23"
"UPT-983","UPT1-217"
"UPT-996","UPT1-194"
"UPT-998","UPT1-92"
