"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"UPT-1067","https://onemain.atlassian.net/browse/UPT-1067","UPT1-136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-136","Task","Infrastructure update - remove geo-restriction for Hydra in omfupt* accounts","UPT-347","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-426","https://onemain.atlassian.net/browse/UPT-426","UPT1-140","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-140","Story","Integrate Clickstream solution with americanhealthandlife.ca website","UPT-347","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-596","https://onemain.atlassian.net/browse/UPT-596","UPT1-141","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-141","Story","Clickstream: Spike - Research Universal Tagging Strategy","UPT-347","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-425","https://onemain.atlassian.net/browse/UPT-425","UPT1-148","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-148","Story","Integrate Clickstream solution with memberlifeevents.com website","UPT-347","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-1058","https://onemain.atlassian.net/browse/UPT-1058","UPT1-150","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-150","Story","Document end-to-end testing concept spanning frontend scenarios","UPT-1032","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-673","https://onemain.atlassian.net/browse/UPT-673","UPT1-154","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-154","Story","Clickstream Investigation: Control Id's showing on multiple unrelated pages","UPT-347","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-1042","https://onemain.atlassian.net/browse/UPT-1042","UPT1-161","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-161","Story","Configure Docker image for CI execution","UPT-1032","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-1054","https://onemain.atlassian.net/browse/UPT-1054","UPT1-162","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-162","Story","[Spike] Research Clickstream Integration in Contentful","UPT-245","Refinement","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-216","https://onemain.atlassian.net/browse/UPT-216","UPT1-170","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-170","Story","Clickstream: Add Unit Tests for infrastructure lambdas","UPT-347","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"UPT-201","https://onemain.atlassian.net/browse/UPT-201","UPT1-181","https://onemainfinancial-migrationsandbox.atlassian.net/browse/UPT1-181","Task","Clickstream Op Readiness: Review Component Monitoring for EMC","UPT-347","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
