"SourceKey","TargetKey"
"UX-1018","UX1-247"
"UX-1020","UX1-67"
"UX-1022","UX1-359"
"UX-1023","UX1-245"
"UX-1024","UX1-227"
"UX-1025","UX1-226"
"UX-1026","UX1-164"
"UX-1027","UX1-165"
"UX-1029","UX1-70"
"UX-103","UX1-134"
"UX-1030","UX1-166"
"UX-1034","UX1-1"
"UX-104","UX1-48"
"UX-1041","UX1-168"
"UX-1043","UX1-73"
"UX-1045","UX1-22"
"UX-1048","UX1-363"
"UX-1049","UX1-364"
"UX-105","UX1-133"
"UX-1050","UX1-61"
"UX-106","UX1-132"
"UX-1067","UX1-75"
"UX-1069","UX1-366"
"UX-1070","UX1-367"
"UX-1071","UX1-368"
"UX-1072","UX1-176"
"UX-1074","UX1-76"
"UX-1076","UX1-370"
"UX-1078","UX1-77"
"UX-1079","UX1-372"
"UX-108","UX1-131"
"UX-1080","UX1-350"
"UX-1081","UX1-349"
"UX-1082","UX1-348"
"UX-1083","UX1-78"
"UX-1084","UX1-79"
"UX-1085","UX1-330"
"UX-1087","UX1-21"
"UX-109","UX1-49"
"UX-1092","UX1-180"
"UX-1093","UX1-162"
"UX-1094","UX1-163"
"UX-1095","UX1-172"
"UX-11","UX1-29"
"UX-1100","UX1-58"
"UX-1101","UX1-333"
"UX-1102","UX1-334"
"UX-1103","UX1-57"
"UX-1104","UX1-152"
"UX-1105","UX1-143"
"UX-1106","UX1-20"
"UX-1107","UX1-144"
"UX-1108","UX1-145"
"UX-1109","UX1-337"
"UX-1110","UX1-146"
"UX-1111","UX1-55"
"UX-1118","UX1-19"
"UX-1119","UX1-33"
"UX-1121","UX1-150"
"UX-1127","UX1-151"
"UX-1128","UX1-153"
"UX-1129","UX1-154"
"UX-113","UX1-110"
"UX-1131","UX1-34"
"UX-1143","UX1-156"
"UX-1144","UX1-339"
"UX-1145","UX1-340"
"UX-1149","UX1-35"
"UX-1153","UX1-341"
"UX-1154","UX1-342"
"UX-1162","UX1-159"
"UX-1163","UX1-181"
"UX-1164","UX1-222"
"UX-1165","UX1-211"
"UX-1166","UX1-209"
"UX-1167","UX1-208"
"UX-1168","UX1-185"
"UX-1169","UX1-157"
"UX-1170","UX1-155"
"UX-1171","UX1-149"
"UX-1172","UX1-148"
"UX-1173","UX1-338"
"UX-1174","UX1-336"
"UX-1175","UX1-335"
"UX-1176","UX1-332"
"UX-1177","UX1-331"
"UX-1178","UX1-329"
"UX-1179","UX1-347"
"UX-1180","UX1-371"
"UX-1181","UX1-369"
"UX-1182","UX1-365"
"UX-1183","UX1-337"
"UX-1184","UX1-373"
"UX-1185","UX1-361"
"UX-1186","UX1-23"
"UX-1189","UX1-360"
"UX-119","UX1-74"
"UX-1190","UX1-24"
"UX-1194","UX1-139"
"UX-1197","UX1-25"
"UX-1207","UX1-244"
"UX-1208","UX1-248"
"UX-1215","UX1-358"
"UX-1219","UX1-355"
"UX-1220","UX1-352"
"UX-1221","UX1-351"
"UX-1236","UX1-141"
"UX-1237","UX1-239"
"UX-1238","UX1-235"
"UX-1239","UX1-243"
"UX-124","UX1-50"
"UX-1243","UX1-343"
"UX-1244","UX1-302"
"UX-1245","UX1-309"
"UX-1246","UX1-310"
"UX-1247","UX1-311"
"UX-1248","UX1-312"
"UX-1249","UX1-313"
"UX-125","UX1-129"
"UX-1250","UX1-314"
"UX-1251","UX1-315"
"UX-1252","UX1-316"
"UX-1253","UX1-317"
"UX-1254","UX1-318"
"UX-1255","UX1-319"
"UX-1256","UX1-320"
"UX-1259","UX1-321"
"UX-1260","UX1-322"
"UX-1261","UX1-323"
"UX-1262","UX1-324"
"UX-1263","UX1-325"
"UX-1264","UX1-236"
"UX-1265","UX1-234"
"UX-1266","UX1-229"
"UX-1267","UX1-232"
"UX-1268","UX1-136"
"UX-1272","UX1-135"
"UX-1275","UX1-59"
"UX-128","UX1-51"
"UX-129","UX1-128"
"UX-130","UX1-69"
"UX-135","UX1-127"
"UX-136","UX1-84"
"UX-137","UX1-111"
"UX-138","UX1-126"
"UX-139","UX1-167"
"UX-1417","UX1-284"
"UX-1418","UX1-285"
"UX-1419","UX1-286"
"UX-1420","UX1-287"
"UX-1422","UX1-288"
"UX-1423","UX1-290"
"UX-1424","UX1-300"
"UX-1425","UX1-292"
"UX-1426","UX1-294"
"UX-1427","UX1-295"
"UX-1428","UX1-296"
"UX-143","UX1-137"
"UX-1430","UX1-297"
"UX-1431","UX1-289"
"UX-1432","UX1-278"
"UX-1433","UX1-263"
"UX-1434","UX1-266"
"UX-1435","UX1-277"
"UX-1436","UX1-267"
"UX-1437","UX1-270"
"UX-1438","UX1-274"
"UX-1439","UX1-275"
