"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","0","Components found in source project","2025-10-16 07:22:45"
"Summary","Labels Captured","3","Unique labels found in source issues","2025-10-16 07:22:45"
"Summary","Components Created","3","Total components created in target","2025-10-16 07:22:45"
"Summary","Created From Source","0","Components copied from source project","2025-10-16 07:22:45"
"Summary","Created From Labels","3","Components created from label names","2025-10-16 07:22:45"
"Summary","Existing Components","0","Components that already existed","2025-10-16 07:22:45"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 07:22:45"
"Component","automation_initiative","15531","Created from Label","2025-10-16 07:22:45"
"Component","Ansible","15532","Created from Label","2025-10-16 07:22:45"
"Component","Automation","15533","Created from Label","2025-10-16 07:22:45"
"Label","automation_initiative","1","Used in 1 issues","2025-10-16 07:22:45"
"Label","Ansible","1","Used in 1 issues","2025-10-16 07:22:45"
"Label","Automation","1","Used in 1 issues","2025-10-16 07:22:45"
