"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 07:24:12"
"Summary","Total Issues Exported","123","Total number of issues exported","2025-10-16 07:24:12"
"Summary","Key to ID Mappings","123","Issue key to ID mappings created","2025-10-16 07:24:12"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 07:24:12"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 07:24:12"
"Issue Type","Task","67","Count of issues by type","2025-10-16 07:24:12"
"Issue Type","Epic","52","Count of issues by type","2025-10-16 07:24:12"
"Issue Type","Spike","4","Count of issues by type","2025-10-16 07:24:12"
"Status","In Progress","49","Count of issues by status","2025-10-16 07:24:12"
"Status","Backlog","54","Count of issues by status","2025-10-16 07:24:12"
"Status","Blocked","3","Count of issues by status","2025-10-16 07:24:12"
"Status","Ready for Work","17","Count of issues by status","2025-10-16 07:24:12"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 07:24:12"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 07:24:12"
