"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ZCS-971","https://onemain.atlassian.net/browse/ZCS-971","ZCS1-165","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-165","Task","DS8950 MCL Updates - RCLs","ZCS-766","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-839","https://onemain.atlassian.net/browse/ZCS-839","ZCS1-167","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-167","Task","Expand RESPK1 (Rescue System) Volume","ZCS-385","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-757","https://onemain.atlassian.net/browse/ZCS-757","ZCS1-174","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-174","Task","FTP Daily CICS Stats To evsftpgwp.corp.fin","ZCS-385","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-716","https://onemain.atlassian.net/browse/ZCS-716","ZCS1-179","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-179","Task","Add Flash Volumes to Copy Services Manager Session","ZCS-385","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-654","https://onemain.atlassian.net/browse/ZCS-654","ZCS1-182","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-182","Task","Remove Volumes with XCF Datasets From CSM Sessions","ZCS-385","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-959","https://onemain.atlassian.net/browse/ZCS-959","ZCS1-188","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-188","Task","Test JIRA Template For ChangeMan","ZCS-385","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-910","https://onemain.atlassian.net/browse/ZCS-910","ZCS1-194","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-194","Task","Create 2nd IODF For Secondary UCB's","ZCS-385","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-913","https://onemain.atlassian.net/browse/ZCS-913","ZCS1-197","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-197","Task","Zhyperlink reporting","ZCS-896","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-960","https://onemain.atlassian.net/browse/ZCS-960","ZCS1-202","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-202","Task","CLONE - Test JIRA Template For ChangeMan","ZCS-385","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ZCS-940","https://onemain.atlassian.net/browse/ZCS-940","ZCS1-211","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-211","Task","Install zDIH for POC Trial","ZCS-385","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
